año,Mes,mes,Copiapó en la Puerta,Copiapó en Pastillo,Huasco en Algodones,Elqui en Algarrobal,Hurtado en San Agustín,Grande en Las Ramadas ,Choapa en Cuncumén ,Aconcagua en Chacabuquito ,Putaendo Resguardo Patos,Juncal en Juncal,Mapocho en los Almendros ,Maipo en el Manzano ,Colorado antes junta Maipo,Cachapoal en Puente Termas ,Claro en Hacienda Las Nieves,Tinguiririca en B.Briones ,Teno después de Junta ,Claro en Los Queñes,Maule en Armerillo ,Ñuble en San Fabián 
1990,Sept,9,,,2.4,3.3,,,3.5,8.0,,,2.2,47.0,,27.0,,20.0,30.0,,150.0,70.0
1990,Oct,10,,,2.3,3.5,,,6.5,18.0,,,3.6,60.0,,50.0,,34.0,39.0,,209.0,82.0
1990,Nov,11,,,2.1,3.5,,,8.5,29.0,,,4.3,90.0,,82.0,,56.0,57.0,,255.0,87.0
1990,Dic,12,,,1.9,3.5,,,5.7,34.0,,,3.9,115.0,,117.0,,62.0,47.0,,150.0,53.0
1990,Ene,1,,,1.7,3.2,,,3.2,30.0,,,3.0,100.0,,93.0,,57.0,20.0,,92.0,31.0
1990,Feb,2,,,1.5,3.0,,,2.6,24.0,,,2.3,80.0,,71.0,,46.0,13.0,,72.0,22.0
1990,Mar,3,,,1.5,3.0,,,2.5,17.0,,,1.7,60.0,,47.0,,30.0,11.0,,62.0,17.0
1991,Sept,9,,,5.5,8.5,,,9.0,30.0,,,9.3,75.0,,60.0,,39.0,45.0,,233.0,103.0
1991,Oct,10,,,6.0,11.0,,,16.0,45.0,,,17.0,114.0,,72.0,,42.0,65.0,,327.0,130.0
1991,Nov,11,,,8.0,16.0,,,38.0,80.0,,,19.0,184.0,,117.0,,68.0,100.0,,457.0,136.0
1991,Dic,12,,,12.0,21.0,,,32.0,125.0,,,17.0,330.0,,166.0,,89.0,97.0,,383.0,100.0
1991,Ene,1,,,10.0,18.0,,,18.0,98.0,,,10.0,310.0,,140.0,,85.0,55.0,,224.0,55.0
1991,Feb,2,,,8.3,15.0,,,12.0,60.0,,,7.0,184.0,,105.0,,64.0,34.0,,149.0,32.0
1991,Mar,3,,,7.0,12.0,,,8.0,36.0,,,4.2,130.0,,70.0,,38.0,21.0,,107.0,23.0
1992,Sept,9,,,5.5,9.6,,,9.2,26.0,,,7.5,78.0,,55.0,,43.0,61.0,,263.0,130.0
1992,Oct,10,,,7.5,14.0,,,17.0,35.0,,,12.0,99.0,,81.0,,46.0,81.0,,357.0,166.0
1992,Nov,11,,,10.0,19.0,,,36.0,60.0,,,15.0,155.0,,132.0,,85.0,117.0,,515.0,173.0
1992,Dic,12,,,12.0,28.0,,,35.0,107.0,,,16.0,294.0,,189.0,,104.0,122.0,,438.0,130.0
