"wy_simple","wym","cod_cuenca","pr","tem"
1978,10,"3414001",3.675,10.585
1978,11,"3414001",0,9.801
1978,12,"3414001",0.214,9.145
1978,10,"3421001",8.973,9.614
1978,11,"3421001",0,9.073
1978,12,"3421001",3.889,8.804
1978,10,"3430003",4.134,9.948
1978,11,"3430003",0,9.252
1978,12,"3430003",1.733,8.532
1978,10,"3820001",13.286,10.678
1978,11,"3820001",0.417,9.994
1978,12,"3820001",0.014,9.466
1978,10,"4302001",29.855,10.006
1978,11,"4302001",3.375,8.835
1978,12,"4302001",0.015,7.646
1978,10,"4311001",9.388,9.376
1978,11,"4311001",0.844,7.946
1978,12,"4311001",0.004,7.548
1978,10,"4313001",5.094,10.703
1978,11,"4313001",1.994,9.089
1978,12,"4313001",0.007,8.307
1978,10,"4320001",11.331,10.905
1978,11,"4320001",4.205,9.686
1978,12,"4320001",0.805,8.978
1978,10,"4501001",13.917,9.029
1978,11,"4501001",4.241,7.334
1978,12,"4501001",0.061,6.984
1978,10,"4503001",4.552,13.771
1978,11,"4503001",1.724,12.835
1978,12,"4503001",1.739,12.235
1978,10,"4511002",7.171,12.691
1978,11,"4511002",6.521,11.153
1978,12,"4511002",0.732,10.377
1978,10,"4513001",3.783,14.101
1978,11,"4513001",3.27,12.898
1978,12,"4513001",0.269,12.287
1978,10,"4515002",6.622,14.03
1978,11,"4515002",8.7,12.658
1978,12,"4515002",2.852,12.418
1978,10,"4522002",6.352,13.44
1978,11,"4522002",8.499,12.122
1978,12,"4522002",2.209,11.919
1978,10,"4531002",0.709,15.447
1978,11,"4531002",0.304,14.886
1978,12,"4531002",0.155,14.487
1978,10,"4703002",6.808,11.852
1978,11,"4703002",0.186,10.616
1978,12,"4703002",0.075,10.006
1978,10,"5100001",2.394,13.379
1978,11,"5100001",0.058,12.588
1978,12,"5100001",0.07,11.889
1978,10,"5101001",0.282,14.266
1978,11,"5101001",0,13.744
1978,12,"5101001",0.092,12.955
1978,10,"5200001",2.898,14.002
1978,11,"5200001",0.191,13.194
1978,12,"5200001",0.112,12.504
1978,10,"5401003",7.775,9.557
1978,11,"5401003",3.435,8.086
1978,12,"5401003",0,7.669
1978,10,"5410002",4.843,11.421
1978,11,"5410002",2.391,10.141
1978,12,"5410002",0,9.791
1978,10,"5411001",2.836,16.605
1978,11,"5411001",0.451,15.921
1978,12,"5411001",0,14.981
1978,10,"5414001",3.586,11.643
1978,11,"5414001",4.255,10.507
1978,12,"5414001",0.98,10.206
1978,10,"5707002",9.816,11.076
1978,11,"5707002",5.939,9.09
1978,12,"5707002",0,8.807
1978,10,"5710001",14.505,11.681
1978,11,"5710001",6.379,10.126
1978,12,"5710001",0.089,9.803
1978,10,"5721001",0.875,9.388
1978,11,"5721001",1.017,8.023
1978,12,"5721001",0,7.709
1978,10,"5722001",0.927,14.142
1978,11,"5722001",2.258,13.282
1978,12,"5722001",0,12.633
1978,10,"5722002",1.386,12.969
1978,11,"5722002",1.136,11.686
1978,12,"5722002",0,11.274
1978,10,"5730008",0.005,16.809
1978,11,"5730008",0.191,16.181
1978,12,"5730008",0,15.146
1978,10,"5741001",0.599,18.024
1978,11,"5741001",0,17.861
1978,12,"5741001",0.092,15.945
1978,10,"6003001",8.446,12.109
1978,11,"6003001",0.852,10.843
1978,12,"6003001",0.093,10.399
1978,10,"6008005",6.391,13.169
1978,11,"6008005",2.28,12.203
1978,12,"6008005",0.24,11.511
1978,10,"6013001",4.233,15.302
1978,11,"6013001",0,14.772
1978,12,"6013001",0.006,13.394
1978,10,"6027001",5.724,16.988
1978,11,"6027001",0,16.119
1978,12,"6027001",0.003,14.75
1978,10,"6028001",8.064,13.496
1978,11,"6028001",0,12.237
1978,12,"6028001",0.171,11.417
1978,10,"7103001",12.789,15.871
1978,11,"7103001",0,14.855
1978,12,"7103001",0.206,13.654
1978,10,"7104002",12.128,15.186
1978,11,"7104002",0.004,14.051
1978,12,"7104002",0.055,13.088
1978,10,"7112001",12.791,14.026
1978,11,"7112001",0.655,12.948
1978,12,"7112001",0.414,12.03
1978,10,"7115001",12.414,15.018
1978,11,"7115001",3.176,14.02
1978,12,"7115001",0.286,13.12
1978,10,"7117008",10.155,15.329
1978,11,"7117008",1.348,14.277
1978,12,"7117008",0.609,13.213
1978,10,"7317005",0.574,15.483
1978,11,"7317005",9.759,14.16
1978,12,"7317005",0,13.115
1978,10,"7321002",2.444,15.156
1978,11,"7321002",6.891,13.839
1978,12,"7321002",0.364,12.857
1978,10,"7330001",9.345,17.224
1978,11,"7330001",27.321,16.064
1978,12,"7330001",0.11,14.634
1978,10,"7350003",0.856,15.783
1978,11,"7350003",20.698,14.687
1978,12,"7350003",0,13.441
1978,10,"7354002",1.017,16.921
1978,11,"7354002",15.858,15.851
1978,12,"7354002",0.066,14.444
1978,10,"7355002",0.999,17.424
1978,11,"7355002",13.551,16.415
1978,12,"7355002",0.288,14.811
1978,10,"7358001",0,19.838
1978,11,"7358001",20.004,18.834
1978,12,"7358001",0.555,16.772
1978,10,"7381001",0,21.022
1978,11,"7381001",22.195,19.868
1978,12,"7381001",0.141,17.943
1978,10,"8104001",2.627,15.98
1978,11,"8104001",20.658,14.825
1978,12,"8104001",0.05,13.448
1978,10,"8106001",10.656,15.813
1978,11,"8106001",23.56,14.767
1978,12,"8106001",0.225,13.509
1979,1,"3414001",0.555,6.388
1979,2,"3414001",0,6.071
1979,3,"3414001",1.122,3.602
1979,4,"3414001",0,5.228
1979,5,"3414001",0,7.01
1979,6,"3414001",8.879,1.576
1979,7,"3414001",0.999,6.52
1979,8,"3414001",0.003,8.078
1979,9,"3414001",0,9.269
1979,10,"3414001",12.84,9.14
1979,11,"3414001",8.538,9.393
1979,12,"3414001",2.051,10.788
1979,1,"3421001",0.046,6.069
1979,2,"3421001",0,5.411
1979,3,"3421001",0.269,3.556
1979,4,"3421001",0,4.354
1979,5,"3421001",0,5.381
1979,6,"3421001",4.334,1.108
1979,7,"3421001",2.832,5.704
1979,8,"3421001",0.07,7.374
1979,9,"3421001",0,8.446
1979,10,"3421001",19.498,8.326
1979,11,"3421001",11.433,8.727
1979,12,"3421001",1.401,10.12
1979,1,"3430003",0.242,5.747
1979,2,"3430003",0,5.512
1979,3,"3430003",1.028,2.937
1979,4,"3430003",0,4.099
1979,5,"3430003",0,6.174
1979,6,"3430003",7.144,1.112
1979,7,"3430003",0.572,5.724
1979,8,"3430003",0,7.293
1979,9,"3430003",0,8.646
1979,10,"3430003",10.683,8.533
1979,11,"3430003",5.554,8.814
1979,12,"3430003",1.45,10.102
1979,1,"3820001",1.255,6.653
1979,2,"3820001",0,5.749
1979,3,"3820001",0.06,4.47
1979,4,"3820001",0,6.14
1979,5,"3820001",0,7.559
1979,6,"3820001",2.524,3.079
1979,7,"3820001",1.494,6.44
1979,8,"3820001",0.18,7.782
1979,9,"3820001",0.049,9.368
1979,10,"3820001",11.615,9.438
1979,11,"3820001",10.732,9.588
1979,12,"3820001",1.227,11.177
1979,1,"4302001",10.836,3.835
1979,2,"4302001",1.346,1.267
1979,3,"4302001",0,2.344
1979,4,"4302001",0.54,4.985
1979,5,"4302001",0.025,5.115
1979,6,"4302001",0.75,1.062
1979,7,"4302001",1.99,3.72
1979,8,"4302001",0.551,6.136
1979,9,"4302001",2.737,7.642
1979,10,"4302001",27.291,8.205
1979,11,"4302001",16.787,8.063
1979,12,"4302001",0.645,9.886
1979,1,"4311001",26.648,3.898
1979,2,"4311001",1.07,3.054
1979,3,"4311001",0,2.745
1979,4,"4311001",19.078,3.509
1979,5,"4311001",3.295,1.539
1979,6,"4311001",9.427,-0.573
1979,7,"4311001",0,4
1979,8,"4311001",0.013,5.985
1979,9,"4311001",0.046,7.945
1979,10,"4311001",12.377,8.104
1979,11,"4311001",8.662,7.377
1979,12,"4311001",0.674,9.187
1979,1,"4313001",23.719,4.597
1979,2,"4313001",0.268,3.709
1979,3,"4313001",0,3.885
1979,4,"4313001",11.856,5.074
1979,5,"4313001",3.337,2.667
1979,6,"4313001",7.476,0.301
1979,7,"4313001",0,5.023
