"date","value","i_ens"
"2023-02-01",15.0646238317383,1
"2023-02-01",15.0969238271606,2
"2023-02-01",15.4766111364258,3
"2023-02-01",15.0790567388428,4
"2023-02-01",15.2070035924805,5
"2023-02-01",15.7711944570435,6
"2023-02-01",15.7680263509644,7
"2023-02-01",15.3093252172363,8
"2023-02-01",15.5346164693726,9
"2023-02-01",15.4829015722168,10
"2023-02-01",15.5055780401123,11
"2023-02-01",15.7121086110962,12
"2023-02-01",15.3653354635132,13
"2023-02-01",15.5778274526489,14
"2023-02-01",15.8309288015259,15
"2023-02-01",15.5164365758789,16
"2023-02-01",15.789871214856,17
"2023-02-01",15.3800096502197,18
"2023-02-01",15.1536760320557,19
"2023-02-01",15.5446977605713,20
"2023-02-01",15.4401559820068,21
"2023-02-01",15.6233263006104,22
"2023-02-01",15.2251291265381,23
"2023-02-01",15.6389722814453,24
"2023-02-01",15.0535840978516,25
"2023-02-01",15.4045009603394,26
"2023-02-01",15.5325765600098,27
"2023-02-01",15.2656030645264,28
"2023-02-01",15.5746545781982,29
"2023-02-01",15.4762525548828,30
"2023-02-02",17.244626995127,1
"2023-02-02",17.3569049797461,2
"2023-02-02",17.0200729332373,3
"2023-02-02",17.1042118034766,4
"2023-02-02",16.4568347893164,5
"2023-02-02",16.6388759575293,6
"2023-02-02",17.2352447472021,7
"2023-02-02",17.3862638435767,8
"2023-02-02",17.371429439585,9
"2023-02-02",16.7476034126685,10
"2023-02-02",16.4760866127417,11
"2023-02-02",16.9936246834204,12
"2023-02-02",17.0777482948706,13
"2023-02-02",16.7266750297949,14
"2023-02-02",16.398450847666,15
"2023-02-02",17.1028022728369,16
"2023-02-02",17.2933921776221,17
"2023-02-02",17.3555803261206,18
"2023-02-02",16.6063098869727,19
"2023-02-02",16.6816768608496,20
"2023-02-02",16.4388961754248,21
"2023-02-02",17.048262592356,22
"2023-02-02",16.8578901253149,23
"2023-02-02",16.6874399147437,24
"2023-02-02",17.5345001182959,25
"2023-02-02",16.9331998787329,26
"2023-02-02",16.8302316627905,27
"2023-02-02",16.4965057335303,28
"2023-02-02",16.3322420082495,29
"2023-02-02",17.2019700966284,30
"2023-02-03",16.412289621272,1
"2023-02-03",16.2269401568555,2
"2023-02-03",16.133140565791,3
"2023-02-03",16.4176816958569,4
"2023-02-03",16.1055336016797,5
"2023-02-03",16.2776546496533,6
"2023-02-03",15.9542884844922,7
"2023-02-03",16.2509288806104,8
"2023-02-03",16.309976579585,9
"2023-02-03",16.2503414172314,10
"2023-02-03",16.1753559130811,11
"2023-02-03",16.2684984225415,12
"2023-02-03",15.8406181353711,13
"2023-02-03",16.33436966125,14
"2023-02-03",16.8255424517773,15
"2023-02-03",16.3861084002637,16
"2023-02-03",16.33436966125,17
"2023-02-03",15.8578338641309,18
"2023-02-03",16.1609783190869,19
"2023-02-03",16.1493787783765,20
"2023-02-03",16.6051158923291,21
"2023-02-03",16.0919675845288,22
"2023-02-03",16.309976579585,23
"2023-02-03",15.6107635516309,24
"2023-02-03",15.7898550051831,25
"2023-02-03",16.2684984225415,26
"2023-02-03",15.6866407412671,27
"2023-02-03",15.8148193377637,28
"2023-02-03",16.4652338046216,29
"2023-02-03",16.2242870349072,30
"2023-02-04",16.2260293927563,1
"2023-02-04",16.1956205335034,2
"2023-02-04",15.6084661450757,3
"2023-02-04",15.8845214810742,4
"2023-02-04",16.1993579831494,5
"2023-02-04",15.8708448377026,6
"2023-02-04",15.7222490277661,7
"2023-02-04",15.9710245099438,8
"2023-02-04",16.0566787686719,9
"2023-02-04",16.2616872754468,10
"2023-02-04",15.8561811414136,11
"2023-02-04",16.2495450940503,12
"2023-02-04",15.793528553523,13
"2023-02-04",16.3332958188428,14
"2023-02-04",16.2406444516553,15
"2023-02-04",16.0566787686719,16
"2023-02-04",16.0821742978467,17
"2023-02-04",16.0325679746045,18
"2023-02-04",15.600934978999,19
"2023-02-04",16.2450647321118,20
"2023-02-04",15.9734640088452,21
"2023-02-04",16.0272312131299,22
"2023-02-04",15.5629987683667,23
"2023-02-04",15.9506778684033,24
"2023-02-04",15.936272617854,25
"2023-02-04",16.0409812894238,26
"2023-02-04",16.0312595334424,27
"2023-02-04",16.1107768979443,28
"2023-02-04",16.0627622571362,29
"2023-02-04",15.8718366589917,30
"2023-02-05",15.870468135481,1
"2023-02-05",15.9495077091504,2
"2023-02-05",15.4142160373975,3
"2023-02-05",15.8013353306104,4
"2023-02-05",15.890336986189,5
"2023-02-05",15.7631025272656,6
"2023-02-05",15.7348003345776,7
"2023-02-05",15.8050203281689,8
"2023-02-05",15.7705421406079,9
"2023-02-05",15.8023242908765,10
"2023-02-05",15.8353052097607,11
"2023-02-05",15.7608957248975,12
"2023-02-05",16.1059980350781,13
"2023-02-05",15.6570177036572,14
"2023-02-05",15.8264617878247,15
"2023-02-05",15.6407976108838,16
"2023-02-05",15.8997373539258,17
"2023-02-05",16.0469474750806,18
"2023-02-05",15.6846485096265,19
"2023-02-05",16.0733451801587,20
"2023-02-05",15.9686841923047,21
"2023-02-05",15.9145202595044,22
"2023-02-05",15.681409831648,23
"2023-02-05",15.9570932346631,24
"2023-02-05",15.5088758426953,25
"2023-02-05",15.0875978428174,26
"2023-02-05",15.4142923313428,27
"2023-02-05",16.1175184208203,28
"2023-02-05",15.4506540256787,29
"2023-02-05",15.6952543216992,30
"2023-02-06",16.0971651097974,1
"2023-02-06",16.0279445668896,2
"2023-02-06",16.0480203649243,3
"2023-02-06",16.1544694921216,4
"2023-02-06",15.96598816125,5
"2023-02-06",15.9992809316357,6
"2023-02-06",16.0659999868115,7
"2023-02-06",16.0994977971753,8
"2023-02-06",16.0645704290112,9
"2023-02-06",16.4883537313184,10
"2023-02-06",16.1218318959912,11
"2023-02-06",16.2001132985791,12
"2023-02-06",15.5142898580273,13
"2023-02-06",16.1544694921216,14
"2023-02-06",16.0167627355298,15
"2023-02-06",15.9397106191357,16
"2023-02-06",16.0752258321484,17
"2023-02-06",16.2479820272168,18
"2023-02-06",15.5142898580273,19
"2023-02-06",15.8550024053296,20
"2023-02-06",15.943696024104,21
"2023-02-06",16.3632326146802,22
"2023-02-06",15.8903312703809,23
"2023-02-06",16.2562208196362,24
"2023-02-06",15.7562599202832,25
"2023-02-06",16.0529727956494,26
"2023-02-06",15.8616189977368,27
"2023-02-06",15.9327363988599,28
"2023-02-06",16.2274665853223,29
"2023-02-06",15.6608886739453,30
"2023-02-07",15.3189840331616,1
"2023-02-07",15.4653186812939,2
"2023-02-07",15.5300369277539,3
"2023-02-07",15.3933429732861,4
"2023-02-07",15.6826591506543,5
"2023-02-07",14.8576221480908,6
"2023-02-07",15.6076202407422,7
"2023-02-07",14.9248514190259,8
"2023-02-07",15.2030534759106,9
"2023-02-07",15.0980329528394,10
"2023-02-07",15.4897918716016,11
"2023-02-07",15.1700181975903,12
"2023-02-07",15.2104034438672,13
"2023-02-07",15.2689113631787,14
"2023-02-07",15.523493768269,15
"2023-02-07",15.3097658172192,16
"2023-02-07",15.4832754149976,17
"2023-02-07",15.3169040694775,18
"2023-02-07",15.0895786300244,19
"2023-02-07",14.9420804992261,20
"2023-02-07",15.6894226089063,21
"2023-02-07",14.9926080718579,22
"2023-02-07",15.3772592559399,23
"2023-02-07",15.6356391921582,24
"2023-02-07",15.2259826675,25
"2023-02-07",15.4299993529858,26
"2023-02-07",14.8448667541089,27
"2023-02-07",15.1857624068799,28
"2023-02-07",15.3610792174878,29
"2023-02-07",14.8245983138623,30
"2023-02-08",14.8610305824805,1
"2023-02-08",15.596597675376,2
"2023-02-08",15.3615207710791,3
"2023-02-08",14.8034343758154,4
"2023-02-08",15.3467435875464,5
"2023-02-08",14.8632621803809,6
"2023-02-08",15.1529178658057,7
"2023-02-08",15.4852190056372,8
"2023-02-08",14.6653547325659,9
"2023-02-08",15.3926420250464,10
"2023-02-08",14.9283704796362,11
"2023-02-08",15.0582399406958,12
"2023-02-08",15.165312770896,13
"2023-02-08",15.0063648262549,14
"2023-02-08",15.2180805244971,15
"2023-02-08",14.6986837425757,16
"2023-02-08",14.6362285652686,17
"2023-02-08",15.0360250511694,18
"2023-02-08",14.7939529457617,19
"2023-02-08",15.5000209847021,20
"2023-02-08",14.4245529213477,21
"2023-02-08",14.5395059624243,22
