"wy_simple","wym","cod_cuenca","SLZ","SM","SP","SUZ","STORAGE"
1981,1,"3414001",15.267,14.058,0,0,29.325
1982,1,"3414001",8.941,6.763,0,0,15.704
1983,1,"3414001",17.073,21.29,0,0,38.363
1984,1,"3414001",41.324,29.968,0,0,71.292
1985,1,"3414001",43.349,16.794,0,0,60.143
1986,1,"3414001",18.899,7.555,0,0,26.454
1987,1,"3414001",20.905,26.453,0,0,47.358
1988,1,"3414001",74.986,35.638,0,0,110.624
1989,1,"3414001",24.671,8.683,24.118,0,57.472
1990,1,"3414001",29.419,17.833,4.76,0,52.012
1991,1,"3414001",9.838,4.364,0,0,14.202
1992,1,"3414001",17.662,33.032,12.716,0,63.41
1993,1,"3414001",26.858,15.774,0,0,42.632
1994,1,"3414001",9.351,4.007,0,0,13.358
1995,1,"3414001",5.384,4.773,0,0,10.157
1996,1,"3414001",5.736,11.729,0,0,17.465
1997,1,"3414001",3.955,8.061,0,0,12.016
1998,1,"3414001",66.898,31.607,4.525,0,103.03
1999,1,"3414001",23.258,15.385,8.923,0,47.566
2000,1,"3414001",10.57,8.388,0,0,18.958
2001,1,"3414001",17.387,34.594,0.086,0,52.067
2002,1,"3414001",10.515,12.86,0.049,0,23.424
2003,1,"3414001",30.566,13.066,0,0,43.632
2004,1,"3414001",11.984,12.949,0.758,0,25.691
2005,1,"3414001",11.554,17.85,17.659,0,47.063
2006,1,"3414001",10.657,10.095,0,0,20.752
2007,1,"3414001",5.344,5.524,0,0,10.868
2008,1,"3414001",12.264,7.714,0.381,0,20.359
2009,1,"3414001",8.159,6.602,0,0,14.761
2010,1,"3414001",4.659,3.099,0,0,7.758
2011,1,"3414001",8.485,11.695,0,0,20.18
2012,1,"3414001",16.304,16.798,19.608,0,52.71
2013,1,"3414001",9.098,7.744,0,0,16.842
2014,1,"3414001",7.081,3.386,0,0,10.467
2015,1,"3414001",7.612,25.472,0,0,33.084
2016,1,"3414001",20.753,28.588,13.113,0,62.454
2017,1,"3414001",23.83,11.74,0,0,35.57
2018,1,"3414001",39.588,15.706,0,0,55.294
2019,1,"3414001",18.452,4.745,0,0,23.197
1981,2,"3414001",14.206,17.277,0.003,0,31.486
1982,2,"3414001",8.459,14.583,4.556,0,27.598
1983,2,"3414001",17.545,32.477,14.828,0,64.85
1984,2,"3414001",36.949,25.41,0,0,62.359
1985,2,"3414001",38.917,15.461,0,0,54.378
1986,2,"3414001",17.207,12.781,15.058,0,45.046
1987,2,"3414001",19.918,31.435,62.984,0,114.337
1988,2,"3414001",69.822,44.287,4.656,0,118.765
1989,2,"3414001",22.17,9.591,46.677,0,78.438
1990,2,"3414001",26.799,19.281,0.276,0,46.356
1991,2,"3414001",8.799,3.684,0,0,12.483
1992,2,"3414001",16.643,33.695,51.562,0,101.9
1993,2,"3414001",24.366,17.124,18.972,0,60.462
1994,2,"3414001",8.361,3.289,0,0,11.65
1995,2,"3414001",4.848,5.001,6.973,0,16.822
1996,2,"3414001",5.129,9.771,0,0,14.9
1997,2,"3414001",4.637,20.863,3.361,0,28.861
1998,2,"3414001",61.076,33.246,2.687,0,97.009
1999,2,"3414001",21.706,20.053,0,0,41.759
2000,2,"3414001",9.939,15.208,10.907,0,36.054
2001,2,"3414001",16.572,34.938,7.94,0,59.45
2002,2,"3414001",18.891,58.946,55.029,0,132.866
2003,2,"3414001",29.731,30.082,18.679,0,78.492
2004,2,"3414001",10.771,11.949,6.214,0,28.934
2005,2,"3414001",10.864,19.879,13.135,0,43.878
2006,2,"3414001",9.946,13.892,0,0,23.838
2007,2,"3414001",6.961,29.712,12.257,0,48.93
2008,2,"3414001",11.264,12.41,17.412,0,41.086
2009,2,"3414001",7.483,9.985,5.221,0,22.689
2010,2,"3414001",5.194,18.965,40.879,0,65.038
2011,2,"3414001",7.818,12.755,0,0,20.573
2012,2,"3414001",15.879,24.807,19.225,0,59.911
2013,2,"3414001",10.141,30.785,10.591,0,51.517
2014,2,"3414001",6.337,3.161,23.683,0,33.181
2015,2,"3414001",7.141,23.988,0.924,0,32.053
2016,2,"3414001",19.797,31.055,35.71,0,86.562
2017,2,"3414001",24.398,34.312,122.09,0,180.8
2018,2,"3414001",36.209,20.533,6.512,0,63.254
2019,2,"3414001",16.596,6.591,5.899,0,29.086
1981,3,"3414001",12.748,15.085,0,0,27.833
1982,3,"3414001",8.24,18.931,21.904,0,49.075
1983,3,"3414001",17.088,37.344,38.477,0,92.909
1984,3,"3414001",36.425,41.407,48.786,0,126.618
1985,3,"3414001",34.927,13.199,0.086,0,48.212
1986,3,"3414001",15.945,17.16,20.275,0,53.38
1987,3,"3414001",18.094,29.595,61.626,0,109.315
1988,3,"3414001",62.929,41.492,10.817,0,115.238
1989,3,"3414001",20.754,18.841,58.113,0,97.708
1990,3,"3414001",24.276,19.013,0,0,43.289
1991,3,"3414001",8.654,17.111,38.7,0,64.465
1992,3,"3414001",15.616,34.301,85.465,0,135.382
1993,3,"3414001",23.367,25.836,6.292,0,55.495
1994,3,"3414001",7.503,2.799,2.212,0,12.514
1995,3,"3414001",4.682,10.18,0,0,14.862
1996,3,"3414001",4.616,9.01,12.593,0,26.219
1997,3,"3414001",5.776,29.944,136.349,0,172.069
1998,3,"3414001",56.879,39.74,17.933,0,114.552
1999,3,"3414001",20.008,21.916,1.882,0,43.806
2000,3,"3414001",9.925,22.95,41.902,0,74.777
2001,3,"3414001",16.944,39.268,0,0,56.212
2002,3,"3414001",18.217,57.502,55.437,0,131.156
2003,3,"3414001",30.031,39.674,0,0,69.705
2004,3,"3414001",10.179,16.077,0,0,26.256
2005,3,"3414001",11.891,29.713,0,0,41.604
2006,3,"3414001",9.549,18.213,0,0,27.762
2007,3,"3414001",11.71,51.118,26.13,0,88.958
2008,3,"3414001",12.125,32.269,20.639,0,65.033
2009,3,"3414001",7.019,13.237,7.765,0,28.021
2010,3,"3414001",5.441,23.321,39.741,0,68.503
2011,3,"3414001",7.911,20.964,45.23,0,74.105
2012,3,"3414001",16.016,32.2,21.911,0,70.127
2013,3,"3414001",9.61,30.531,9.314,0,49.455
2014,3,"3414001",5.722,4.192,23.19,0,33.104
2015,3,"3414001",6.524,21.174,0,0,27.698
2016,3,"3414001",20.325,39.656,66.674,0,126.655
2017,3,"3414001",23.733,39.783,155.714,0,219.23
2018,3,"3414001",33.416,24.964,14.257,0,72.637
2019,3,"3414001",15.485,14.272,0,0,29.757
1981,4,"3414001",11.692,16.296,5.142,0,33.13
1982,4,"3414001",12.685,47.169,41.334,0,101.188
1983,4,"3414001",15.87,38.306,104.363,0,158.539
1984,4,"3414001",35.24,47.171,143.622,0,226.033
1985,4,"3414001",31.246,12.081,29.428,0,72.755
1986,4,"3414001",14.912,21.664,39.744,0,76.32
1987,4,"3414001",23.567,55.36,171.612,0,250.539
1988,4,"3414001",57.304,41.482,16.065,0,114.851
1989,4,"3414001",18.872,19.668,67.947,0,106.487
1990,4,"3414001",22.188,21.505,15.017,0,58.71
1991,4,"3414001",8.603,22.477,70.504,0,101.584
1992,4,"3414001",14.795,36.106,116.531,0,167.432
1993,4,"3414001",22.769,33.47,8.809,0,65.048
1994,4,"3414001",8.804,31.906,9.937,0,50.647
1995,4,"3414001",4.272,10.042,0,0,14.314
1996,4,"3414001",4.534,13.541,6.715,0,24.79
1997,4,"3414001",12.973,55.043,119.268,0,187.284
1998,4,"3414001",52.656,42.397,21.819,0,116.872
1999,4,"3414001",17.959,20.87,7.224,0,46.053
2000,4,"3414001",8.928,22.135,72.332,0,103.395
2001,4,"3414001",16.115,38.115,0,0,54.23
2002,4,"3414001",20.694,64.447,93.955,0,179.096
2003,4,"3414001",28.894,43.362,5.536,0,77.792
2004,4,"3414001",11.326,32.661,29.103,0,73.09
2005,4,"3414001",10.963,28.646,13.524,0,53.133
2006,4,"3414001",9.37,22.671,11.878,0,43.919
2007,4,"3414001",12.015,51.859,48.105,0,111.979
2008,4,"3414001",12.267,34.704,20.166,0,67.137
2009,4,"3414001",7.098,20.286,22.109,0,49.493
2010,4,"3414001",5.255,24.333,40.657,0,70.245
2011,4,"3414001",9.818,34.325,75.251,0,119.394
2012,4,"3414001",17.306,40.38,5.83,0,63.516
2013,4,"3414001",12.364,43.082,19.164,0,74.61
2014,4,"3414001",5.325,8.437,21.369,0,35.131
2015,4,"3414001",7.195,28.128,28.101,0,63.424
2016,4,"3414001",22.539,50.162,90.932,0,163.633
2017,4,"3414001",25.365,48.773,136.788,0,210.926
2018,4,"3414001",33.026,38.93,44.43,0,116.386
2019,4,"3414001",13.899,12.868,0,0,26.767
1981,5,"3414001",12.169,26.697,19.748,0,58.614
1982,5,"3414001",19.898,61.589,8.49,0,89.977
1983,5,"3414001",15.092,37.701,150.4,0,203.193
1984,5,"3414001",31.509,44.684,151.889,0,228.082
1985,5,"3414001",30.64,34.476,46.175,0,111.291
1986,5,"3414001",14.202,24.643,64.897,0,103.742
1987,5,"3414001",27.569,64.26,218.124,0,309.953
1988,5,"3414001",54.756,46.522,0,0,101.278
1989,5,"3414001",17.624,23.382,103.126,0,144.132
1990,5,"3414001",21.901,28.622,0.067,0,50.59
1991,5,"3414001",11.248,37.1,48.783,0,97.131
1992,5,"3414001",13.818,34.187,119.96,0,167.965
1993,5,"3414001",22.144,35.296,0.654,0,58.094
1994,5,"3414001",9.925,36.573,2.425,0,48.923
1995,5,"3414001",4.079,11.598,0,0,15.677
1996,5,"3414001",6.225,28.174,7.004,0,41.403
1997,5,"3414001",16.161,59.743,197.547,0,273.451
1998,5,"3414001",49.279,44.995,13.878,0,108.152
1999,5,"3414001",17,23.134,0,0,40.134
2000,5,"3414001",8.292,22.144,70.367,0,100.803
2001,5,"3414001",17.015,42.884,7.897,0,67.796
2002,5,"3414001",21.991,64.601,114.863,0,201.455
2003,5,"3414001",27.067,41.651,0,0,68.718
2004,5,"3414001",12.411,38.602,35.399,0,86.412
2005,5,"3414001",12.898,37.403,9.259,0,59.56
2006,5,"3414001",11.916,37.298,0.787,0,50.001
2007,5,"3414001",11.532,48.705,45.24,0,105.477
2008,5,"3414001",13.07,38.357,8.844,0,60.271
2009,5,"3414001",8.493,30.286,9.957,0,48.736
2010,5,"3414001",6.795,31.686,32.464,0,70.945
2011,5,"3414001",9.128,32.459,73.391,0,114.978
2012,5,"3414001",18.695,45.959,2.676,0,67.33
2013,5,"3414001",12.82,43.185,15.021,0,71.026
2014,5,"3414001",6.755,23.41,0,0,30.165
2015,5,"3414001",9.966,40.392,69.414,0,119.772
2016,5,"3414001",22.168,49.724,85.952,0,157.844
2017,5,"3414001",26.79,53.919,128.345,0,209.054
2018,5,"3414001",31.055,39.402,36.721,0,107.178
2019,5,"3414001",12.428,10.263,0,0,22.691
1981,6,"3414001",13.391,34.363,13.323,0,61.077
1982,6,"3414001",26.117,66.848,13.956,0,106.921
1983,6,"3414001",13.543,36.022,155.679,0,205.244
1984,6,"3414001",28.625,39.553,154.021,0,222.199
1985,6,"3414001",28.405,33.442,40.937,0,102.784
1986,6,"3414001",14.465,29.942,54.864,0,99.271
1987,6,"3414001",25.984,58.978,226.789,0,311.751
1988,6,"3414001",49.621,41.434,3.813,0,94.868
1989,6,"3414001",16.189,24.481,125.517,0,166.187
1990,6,"3414001",20.133,25.508,0,0,45.641
1991,6,"3414001",14.613,45.515,39.062,0,99.19
1992,6,"3414001",14.852,39.073,106.764,0,160.689
1993,6,"3414001",20.067,30.344,0.551,0,50.962
1994,6,"3414001",9.637,30.988,0.658,0,41.283
1995,6,"3414001",5.302,24.781,24.984,0,55.067
1996,6,"3414001",6.952,28.872,0.017,0,35.841
1997,6,"3414001",21.42,65.122,199.641,0,286.183
1998,6,"3414001",46.477,45.055,3.713,0,95.245
1999,6,"3414001",16.24,24.278,0,0,40.518
2000,6,"3414001",8.986,28.601,62.44,0,100.027
2001,6,"3414001",17.644,44.504,3.315,0,65.463
