"wy_simple","wym","cod_cuenca","SLZ","SM","SP","SUZ","STORAGE"
1981,1,"3414001",12.377,65.264,27.219,0,104.86
1982,1,"3414001",13.81,49.862,0,0,63.672
1983,1,"3414001",18.153,62.321,3.679,0.259,84.412
1984,1,"3414001",18.92,77.351,112.927,0.146,209.344
1985,1,"3414001",19.783,70.184,207.041,0,297.008
1986,1,"3414001",21.273,70.805,151.007,0.026,243.111
1987,1,"3414001",20.465,87.652,151.065,0.754,259.936
1988,1,"3414001",22.163,79.462,372.685,0.325,474.635
1989,1,"3414001",20.547,71.206,335.351,0,427.104
1990,1,"3414001",18.655,68.7,385.357,0,472.712
1991,1,"3414001",19.508,70.515,285.56,0.293,375.876
1992,1,"3414001",19.71,74.469,336.459,0.274,430.912
1993,1,"3414001",19,71.655,375.875,0.171,466.701
1994,1,"3414001",14.682,51.338,0,0,66.02
1995,1,"3414001",9.529,21.656,0,0,31.185
1996,1,"3414001",8.709,31.06,0,0,39.769
1997,1,"3414001",6.497,22.42,0,0,28.917
1998,1,"3414001",17.463,75.921,209.23,0,302.614
1999,1,"3414001",19.901,76.172,147.767,0.588,244.428
2000,1,"3414001",20.909,69.678,73.444,0,164.031
2001,1,"3414001",19.85,87.947,79.589,0.881,188.267
2002,1,"3414001",22.022,74.78,13.535,0.145,110.482
2003,1,"3414001",23.801,76.824,60.281,0.13,161.036
2004,1,"3414001",20.856,54.302,2.625,0,77.783
2005,1,"3414001",17.554,51.81,21.401,0.132,90.897
2006,1,"3414001",14.819,50.909,0,0,65.728
2007,1,"3414001",9.094,19.349,0.536,0,28.979
2008,1,"3414001",12.72,43.342,0.466,0,56.528
2009,1,"3414001",11.249,31.917,0,0,43.166
2010,1,"3414001",7.567,17.921,0,0,25.488
2011,1,"3414001",10.871,48.659,0,0,59.53
2012,1,"3414001",16.901,73.123,23.509,0,113.533
2013,1,"3414001",13.323,33.004,0,0,46.327
2014,1,"3414001",10.031,23.352,0,0,33.383
2015,1,"3414001",10.614,47.428,0.25,0,58.292
2016,1,"3414001",16.327,83.68,29.091,2.322,131.42
2017,1,"3414001",21.033,77.307,22.394,0.152,120.886
