"wy_simple","wym","cod_cuenca","SLZ","SM","SP","SUZ","STORAGE"
1981,1,"3414001",0.924,131.027,113.835,0,245.786
1982,1,"3414001",1.288,158.093,113.274,0,272.655
1983,1,"3414001",3.145,217.306,144.344,0,364.795
1984,1,"3414001",2.587,226.305,383.852,0,612.744
1985,1,"3414001",2.109,218.248,600.502,0,820.859
1986,1,"3414001",2.134,212.42,600.872,0,815.426
1987,1,"3414001",3.186,233.809,672.734,0,909.729
1988,1,"3414001",2.841,244.998,1071.842,0,1319.681
1989,1,"3414001",2.257,222.71,1088.341,0,1313.308
1990,1,"3414001",1.92,213.607,1223.313,0,1438.84
1991,1,"3414001",2.179,201.062,1160.199,0,1363.44
1992,1,"3414001",2.251,208.291,1306.922,0,1517.464
1993,1,"3414001",2.118,202.44,1445.939,0,1650.497
1994,1,"3414001",1.202,150.49,132.335,0,284.027
1995,1,"3414001",1.758,187.102,55.229,0,244.089
1996,1,"3414001",1.763,192.732,42.015,0,236.51
1997,1,"3414001",1.078,181.993,0,0,183.071
1998,1,"3414001",2.604,230.346,398.817,0,631.767
1999,1,"3414001",2.786,221.213,380.49,0,604.489
2000,1,"3414001",2.063,207.498,346.873,0,556.434
2001,1,"3414001",3.142,226.911,430.4,0,660.453
2002,1,"3414001",2.384,217.242,405.689,0,625.315
2003,1,"3414001",2.619,236.658,548.992,0,788.269
2004,1,"3414001",2.875,230.657,493.867,0,727.399
2005,1,"3414001",2.971,228.654,541.284,0,772.909
2006,1,"3414001",2.565,214.921,549.906,0,767.392
2007,1,"3414001",2.464,215.327,466.371,0,684.162
2008,1,"3414001",2.205,224.319,489.153,0,715.677
2009,1,"3414001",2.585,217.715,470.871,0,691.171
2010,1,"3414001",2.311,210.456,409.774,0,622.541
2011,1,"3414001",2.258,208.945,445.417,0,656.62
2012,1,"3414001",2.774,222.901,553.489,0,779.164
2013,1,"3414001",2.382,217.207,485.506,0,705.095
2014,1,"3414001",1.991,213.082,448.383,0,663.456
2015,1,"3414001",3.191,223.472,434.664,0,661.327
2016,1,"3414001",4.219,235.785,547.879,0,787.883
2017,1,"3414001",2.64,230.438,620.423,0,853.501
2018,1,"3414001",3.049,231.98,856.97,0,1091.999
2019,1,"3414001",2.476,220.316,864.822,0,1087.614
1981,2,"3414001",0.704,133.268,116.34,0,250.312
1982,2,"3414001",1.157,165.356,120.788,0,287.301
1983,2,"3414001",2.872,228.095,173.33,0,404.297
1984,2,"3414001",1.536,222.137,381.592,0,605.265
1985,2,"3414001",1.466,216.139,597.721,0,815.326
1986,2,"3414001",1.912,216.948,625.475,0,844.335
1987,2,"3414001",2.543,239.404,791.713,0,1033.66
1988,2,"3414001",2.867,254.659,1081.687,0,1339.213
1989,2,"3414001",1.325,221.077,1131.492,0,1353.894
1990,2,"3414001",1.147,209.991,1222.172,0,1433.31
1991,2,"3414001",1.525,199.45,1155.136,0,1356.111
1992,2,"3414001",1.373,206.683,1387.506,0,1595.562
1993,2,"3414001",1.349,200.985,1485.116,0,1687.45
1994,2,"3414001",0.889,151.258,126.188,0,278.335
1995,2,"3414001",1.205,186.475,65.093,0,252.773
1996,2,"3414001",1.195,190.919,37.574,0,229.688
1997,2,"3414001",1.561,191.691,6.37,0,199.622
1998,2,"3414001",1.864,229.599,401.69,0,633.153
1999,2,"3414001",1.72,217.862,377.535,0,597.117
2000,2,"3414001",1.758,212.165,366.38,0,580.303
2001,2,"3414001",2.101,227.669,445.33,0,675.1
2002,2,"3414001",7.013,266.873,509.467,0,783.353
2003,2,"3414001",3.866,253.164,580.535,0,837.565
2004,2,"3414001",1.603,226.642,504.627,0,732.872
2005,2,"3414001",1.632,224.329,541.279,0,767.24
2006,2,"3414001",2.186,217.685,546.112,0,765.983
2007,2,"3414001",3.151,237.467,490.16,0,730.778
2008,2,"3414001",2.012,226.543,519.288,0,747.843
2009,2,"3414001",2.306,221.038,474.319,0,697.663
2010,2,"3414001",2.755,224.785,484.974,0,712.514
2011,2,"3414001",1.657,208.64,443.551,0,653.848
2012,2,"3414001",2.348,225.777,558.488,0,786.613
2013,2,"3414001",3.72,239.046,502.448,0,745.214
2014,2,"3414001",1.326,211.528,490.206,0,703.06
2015,2,"3414001",2.204,222.964,432.974,0,658.142
2016,2,"3414001",2.525,233.486,600.494,0,836.505
2017,2,"3414001",4.247,255.261,847.185,0,1106.693
2018,2,"3414001",2.262,233.588,871.547,0,1107.397
2019,2,"3414001",1.761,219.781,873.062,0,1094.604
1981,3,"3414001",0.429,131.589,114.944,0,246.962
1982,3,"3414001",0.855,166.57,160.482,0,327.907
1983,3,"3414001",2.444,233.292,218.571,0,454.307
1984,3,"3414001",2.803,239.589,473.787,0,716.179
1985,3,"3414001",1.198,215.095,592.603,0,808.896
1986,3,"3414001",1.508,218.001,637.856,0,857.365
1987,3,"3414001",1.386,235.623,791.572,0,1028.581
1988,3,"3414001",1.59,251.31,1095.27,0,1348.17
1989,3,"3414001",1.625,225.795,1156.693,0,1384.113
1990,3,"3414001",0.747,207.683,1223.869,0,1432.299
1991,3,"3414001",1.615,207.73,1236.09,0,1445.435
1992,3,"3414001",1.119,207.822,1452.17,0,1661.111
1993,3,"3414001",0.847,197.987,1483.67,0,1682.504
1994,3,"3414001",0.733,152.814,124.402,0,277.949
1995,3,"3414001",0.856,185.095,61.755,0,247.706
1996,3,"3414001",0.832,190.556,58.776,0,250.164
1997,3,"3414001",1.742,202.899,258.642,0,463.283
1998,3,"3414001",1.757,235.131,435.382,0,672.27
1999,3,"3414001",1.655,220.045,378.114,0,599.814
2000,3,"3414001",1.785,217.135,428.072,0,646.992
2001,3,"3414001",1.437,227.07,444.769,0,673.276
2002,3,"3414001",4.155,265.577,513.958,0,783.69
2003,3,"3414001",2.459,250.026,576.911,0,829.396
2004,3,"3414001",0.962,223.194,503.738,0,727.894
2005,3,"3414001",1.182,222.401,541.687,0,765.27
2006,3,"3414001",1.351,215.594,555.517,0,772.462
2007,3,"3414001",4.476,260.778,517.417,0,782.671
2008,3,"3414001",2.883,241.531,531.603,0,776.017
2009,3,"3414001",1.547,221.067,480.787,0,703.401
2010,3,"3414001",1.905,225.649,487.704,0,715.258
2011,3,"3414001",1.55,215.196,531.5,0,748.246
2012,3,"3414001",1.931,229.091,572.175,0,803.197
2013,3,"3414001",2.127,236.318,504.134,0,742.579
2014,3,"3414001",0.747,208.972,491.135,0,700.854
2015,3,"3414001",1.588,221.31,428.275,0,651.173
2016,3,"3414001",2.442,243.764,658.614,0,904.82
2017,3,"3414001",3.499,260.584,911.998,0,1176.081
2018,3,"3414001",1.379,231.995,897.645,0,1131.019
2019,3,"3414001",1.546,220.696,870.379,0,1092.621
1981,4,"3414001",0.359,132.561,126.232,0,259.152
1982,4,"3414001",2.36,194.369,207.009,0,403.738
1983,4,"3414001",1.603,234.502,345.537,0,581.642
1984,4,"3414001",2.479,248.255,654.379,0,905.113
1985,4,"3414001",0.805,213.586,647.139,0,861.53
1986,4,"3414001",1.495,221.318,674.392,0,897.205
1987,4,"3414001",4.491,265.308,1002.251,0,1272.05
1988,4,"3414001",0.96,248.706,1112.633,0,1362.299
1989,4,"3414001",1.128,224.787,1175.885,0,1401.8
1990,4,"3414001",0.763,210.346,1251.018,0,1462.127
1991,4,"3414001",1.565,211.601,1297.163,0,1510.329
1992,4,"3414001",0.93,210.244,1511.681,0,1722.855
1993,4,"3414001",0.908,202.335,1497.511,0,1700.754
1994,4,"3414001",2.163,180.5,140.669,0,323.332
1995,4,"3414001",0.543,182.342,62.478,0,245.363
1996,4,"3414001",0.495,187.759,58.288,0,246.542
1997,4,"3414001",2.62,219.846,256.984,0,479.45
1998,4,"3414001",1.5,236.377,448.406,0,686.283
1999,4,"3414001",0.918,218.033,388.167,0,607.118
2000,4,"3414001",0.973,215.641,486.706,0,703.32
2001,4,"3414001",0.943,224.022,451.564,0,676.529
2002,4,"3414001",3.97,276.988,585.872,0,866.83
2003,4,"3414001",2.077,254.376,588.968,0,845.421
2004,4,"3414001",2.716,238.723,558.189,0,799.628
2005,4,"3414001",0.925,222.396,566.513,0,789.834
2006,4,"3414001",1.934,223.004,571.54,0,796.478
2007,4,"3414001",2.91,263.094,559.521,0,825.525
2008,4,"3414001",1.78,238.745,542.072,0,782.597
2009,4,"3414001",1.525,226.172,508.657,0,736.354
2010,4,"3414001",1.027,223.401,495.167,0,719.595
2011,4,"3414001",1.98,227.015,593.804,0,822.799
2012,4,"3414001",1.185,225.663,570.342,0,797.19
2013,4,"3414001",2.517,245.45,533.485,0,781.452
2014,4,"3414001",0.449,205.624,496.682,0,702.755
2015,4,"3414001",1.552,226.154,485.419,0,713.125
2016,4,"3414001",2.941,255.878,708.1,0,966.919
2017,4,"3414001",2.106,256.496,909.84,0,1168.442
2018,4,"3414001",2.416,245.505,957.217,0,1205.138
2019,4,"3414001",1.092,218.299,867.842,0,1087.233
1981,5,"3414001",0.476,138.369,167.03,0,305.875
1982,5,"3414001",1.532,191.729,203.263,0,396.524
1983,5,"3414001",1.258,233.358,436.05,0,670.666
1984,5,"3414001",1.307,246.023,670.327,0,917.657
1985,5,"3414001",2.618,232.038,685.075,0,919.731
1986,5,"3414001",1.067,219.813,729.58,0,950.46
1987,5,"3414001",4.504,278.42,1095.667,0,1378.591
