"wy_simple","wym","cod_cuenca","SLZ","SSM","SUZ","SWE","STORAGE"
1981,1,"3414001",12.377,65.264,0,27.219,104.86
1982,1,"3414001",13.81,49.862,0,0,63.672
1983,1,"3414001",18.153,62.321,0.259,3.679,84.412
1984,1,"3414001",18.92,77.351,0.146,112.927,209.344
1985,1,"3414001",19.783,70.184,0,207.041,297.008
1986,1,"3414001",21.273,70.805,0.026,151.007,243.111
1987,1,"3414001",20.465,87.652,0.754,151.065,259.936
1988,1,"3414001",22.163,79.462,0.325,372.685,474.635
1989,1,"3414001",20.547,71.206,0,335.351,427.104
1990,1,"3414001",18.655,68.7,0,385.357,472.712
1991,1,"3414001",19.508,70.515,0.293,285.56,375.876
1992,1,"3414001",19.71,74.469,0.274,336.459,430.912
1993,1,"3414001",19,71.655,0.171,375.875,466.701
1994,1,"3414001",19.594,67.734,0,295.998,383.326
1995,1,"3414001",22.898,73.425,0,179.581,275.904
1996,1,"3414001",22.238,69.845,0,118.866,210.949
1997,1,"3414001",21.762,75.771,0.523,16.486,114.542
1998,1,"3414001",25.098,83.286,0.118,220.001,328.503
1999,1,"3414001",22.843,77.155,0.622,158.538,259.158
2000,1,"3414001",21.994,69.807,0,84.216,176.017
2001,1,"3414001",20.24,87.965,0.882,90.361,199.448
2002,1,"3414001",22.162,74.782,0.146,24.306,121.396
2003,1,"3414001",23.851,76.824,0.13,71.052,171.857
2004,1,"3414001",21.973,60.306,0,2.625,84.904
2005,1,"3414001",18.157,52.604,0.14,21.401,92.302
2006,1,"3414001",15.056,51.021,0,0,66.077
2007,1,"3414001",9.182,19.363,0,0.536,29.081
2008,1,"3414001",12.752,43.344,0,0.466,56.562
2009,1,"3414001",11.261,31.917,0,0,43.178
2010,1,"3414001",7.572,17.921,0,0,25.493
2011,1,"3414001",10.873,48.659,0,0,59.532
2012,1,"3414001",16.902,73.123,0,23.509,113.534
2013,1,"3414001",13.323,33.004,0,0,46.327
2014,1,"3414001",10.031,23.352,0,0,33.383
2015,1,"3414001",10.614,47.428,0,0.25,58.292
2016,1,"3414001",16.327,83.68,2.322,29.091,131.42
2017,1,"3414001",21.033,77.307,0.152,22.394,120.886
2018,1,"3414001",21.61,78.071,0.927,123.073,223.681
2019,1,"3414001",22.717,73.497,0.233,66.583,163.03
2020,1,"3414001",17.725,38.509,0,0,56.234
2021,1,"3414001",11.229,28.395,0,0,39.624
2022,1,"3414001",9.242,27.992,0,0,37.234
2023,1,"3414001",10.115,32.538,0,0,42.653
1981,2,"3414001",12.303,65.001,0,27.593,104.897
1982,2,"3414001",13.587,53.904,0,6.605,74.096
1983,2,"3414001",18.761,71.26,0,22.903,112.924
1984,2,"3414001",17.93,73.139,0,110.182,201.251
1985,2,"3414001",18.976,68.363,0,203.478,290.817
1986,2,"3414001",21.057,74.004,0,165.34,260.401
1987,2,"3414001",20.327,88.973,0,228.479,337.779
1988,2,"3414001",22.662,87.662,0.063,378.714,489.101
1989,2,"3414001",18.941,68.328,0,363.477,450.746
1990,2,"3414001",17.415,65.371,0,383.65,466.436
1991,2,"3414001",19.142,68.924,0,279.386,367.452
1992,2,"3414001",18.605,72,0,386.113,476.718
1993,2,"3414001",18.115,69.641,0,399.042,486.798
1994,2,"3414001",19.123,66.967,0,288.532,374.622
1995,2,"3414001",21.967,71.989,0,182.924,276.88
1996,2,"3414001",21.239,67.753,0,113.472,202.464
1997,2,"3414001",22.336,86.44,0.882,15.078,124.736
1998,2,"3414001",24.075,81.712,0,220.771,326.558
1999,2,"3414001",22.081,73.718,0,154.858,250.657
2000,2,"3414001",21.422,72.808,0,96.947,191.177
2001,2,"3414001",20.077,86.661,0,100.198,206.936
2002,2,"3414001",22.702,115.249,5.964,92.229,236.144
2003,2,"3414001",24.016,90.501,1.572,90.465,206.554
2004,2,"3414001",20.331,57.411,0,8.572,86.314
2005,2,"3414001",16.88,49.829,0,21.098,87.807
2006,2,"3414001",14.368,51.626,0.202,0.145,66.341
2007,2,"3414001",10.149,42.965,0,16.333,69.447
2008,2,"3414001",12.139,44.804,0.135,21.53,78.608
2009,2,"3414001",10.642,33.007,0.068,6.5,50.217
2010,2,"3414001",8.044,30.993,0,51.059,90.096
2011,2,"3414001",10.207,46.086,0,1.582,57.875
2012,2,"3414001",16.098,75.214,0.712,26.692,118.716
2013,2,"3414001",13.413,53.205,0.794,13.967,81.379
2014,2,"3414001",9.207,21.813,0,27.995,59.015
2015,2,"3414001",10.063,46.103,0,1.167,57.333
2016,2,"3414001",16.927,80.202,0,61.723,158.852
2017,2,"3414001",21.557,91.422,0.911,172.596,286.486
2018,2,"3414001",21.653,78.493,0,131.342,231.488
2019,2,"3414001",22.008,72.608,0,70.113,164.729
2020,2,"3414001",16.406,38.186,0.248,7.019,61.859
2021,2,"3414001",10.462,27.932,0,2.798,41.192
2022,2,"3414001",8.479,25.811,0,0.339,34.629
1981,3,"3414001",11.562,61.938,0,25.898,99.398
1982,3,"3414001",12.927,53.734,0,31.794,98.455
1983,3,"3414001",17.323,75.685,1.161,51.135,145.304
1984,3,"3414001",18.246,86.482,1.078,170.104,275.91
1985,3,"3414001",18.468,68.006,0,197.176,283.65
1986,3,"3414001",19.662,74.132,0.41,173.487,267.691
1987,3,"3414001",18.715,84.67,0,228.3,331.685
1988,3,"3414001",20.912,83.847,0,387.328,492.087
1989,3,"3414001",18.33,71.556,0.281,380.393,470.56
1990,3,"3414001",16.276,63.242,0,384.043,463.561
1991,3,"3414001",19.156,75.545,0,329.391,424.092
1992,3,"3414001",17.351,71.668,0.25,427.084,516.353
1993,3,"3414001",16.93,66.549,0,397.286,480.765
1994,3,"3414001",18.719,67.394,0,283.788,369.901
1995,3,"3414001",20.871,70.027,0,178.836,269.734
1996,3,"3414001",20.131,67.282,0,124.646,212.059
1997,3,"3414001",22.64,90.854,0,175.962,289.456
1998,3,"3414001",23.512,85.747,0,241.703,350.962
1999,3,"3414001",21.206,75.516,0.448,153.65,250.82
2000,3,"3414001",20.372,74.243,0.25,138.512,233.377
2001,3,"3414001",19.263,85.14,0,98.924,203.327
2002,3,"3414001",23.182,112.372,1.27,95.137,231.961
2003,3,"3414001",24,87.141,0,86.065,197.206
2004,3,"3414001",18.875,55.106,0,7.379,81.36
2005,3,"3414001",16.032,49.699,0,20.184,85.915
2006,3,"3414001",13.644,50.289,0,5.987,69.92
2007,3,"3414001",10.823,65.999,1.157,34.705,112.684
2008,3,"3414001",12.365,60.208,0.768,29.631,102.972
2009,3,"3414001",10.178,34.58,0,10.816,55.574
2010,3,"3414001",7.792,33.612,0,52.723,94.127
2011,3,"3414001",10.23,50.961,0,58.236,119.427
2012,3,"3414001",16.459,77.342,0,35.649,129.45
