"wy_simple","wym","cod_cuenca","AE","SLZ","SM","SP","SUZ","STORAGE"
1981,1,"3414001",0.158,17.887,27.179,1.122,0,46.346
1982,1,"3414001",0.229,10.554,15.584,0,0,26.367
1983,1,"3414001",0.277,20.037,37.734,3.836,0,61.884
1984,1,"3414001",0.356,43.687,48.728,0,0,92.771
1985,1,"3414001",0,35.699,26.209,0.034,0,61.942
1986,1,"3414001",0.23,17.208,16.766,0,0,34.204
1987,1,"3414001",0,27.21,53.795,0.276,0,81.281
1988,1,"3414001",0.366,50.225,40.988,0,0,91.579
1989,1,"3414001",0,24.864,27.973,16.613,0,69.45
1990,1,"3414001",0,27.087,24.784,8.639,0,60.51
1991,1,"3414001",0.108,10.303,16.99,0.012,0,27.413
1992,1,"3414001",0,21.147,55.638,23.723,0,100.508
1993,1,"3414001",0.289,31.229,27.555,0,0,59.073
1994,1,"3414001",0.119,10.981,13.343,0,0,24.443
1995,1,"3414001",0.134,6.94,12.042,0,0,19.116
1996,1,"3414001",0.267,11.247,29.412,0,0,40.926
1997,1,"3414001",0.281,7.68,23.832,0,0,31.793
1998,1,"3414001",0.286,44.629,50.508,6.464,0,101.887
1999,1,"3414001",0,21.297,37.871,5.889,0,65.057
2000,1,"3414001",0.207,14.765,22.08,0.426,0,37.478
2001,1,"3414001",0,22.664,69.143,1.741,0,93.548
2002,1,"3414001",0.143,20.64,26.56,1.306,0,48.649
2003,1,"3414001",0.127,26.233,14.786,1.377,0,42.523
2004,1,"3414001",0,11.331,26.512,6.521,0,44.364
2005,1,"3414001",0,15.36,37.074,15.944,0,68.378
2006,1,"3414001",0.178,15.185,14.749,0,0,30.112
2007,1,"3414001",0.074,7.367,10.889,1.709,0,20.039
2008,1,"3414001",0,13.812,19.568,1.864,0,35.244
2009,1,"3414001",0.177,8.915,15.201,0,0,24.293
2010,1,"3414001",0.116,5.981,9.881,0,0,15.978
2011,1,"3414001",0,9.346,25.144,0,0,34.49
2012,1,"3414001",0,17.064,39.082,17.615,0,73.761
2013,1,"3414001",0.11,10.636,13.134,0,0,23.88
2014,1,"3414001",0,8.978,13.531,0.198,0,22.707
2015,1,"3414001",0.566,10.241,48.97,0,0,59.777
2016,1,"3414001",0,21.076,56.77,12.841,0,90.687
2017,1,"3414001",0.24,28.105,27.834,0.738,0,56.917
2018,1,"3414001",0.241,27.067,19.302,0,0,46.61
2019,1,"3414001",0.087,12.655,12.048,0,0,24.79
1981,2,"3414001",0,16.162,28.948,6.747,0,51.857
1982,2,"3414001",0,9.607,22.58,8.694,0,40.881
1983,2,"3414001",0,19.236,50.668,31.275,0,101.179
1984,2,"3414001",0.23,38.962,44.639,0.346,0,84.177
1985,2,"3414001",0,32.27,31.396,0.779,0,64.445
1986,2,"3414001",0,15.382,17.57,20.103,0,53.055
1987,2,"3414001",0,24.287,54.167,66.229,0,144.683
1988,2,"3414001",0,45.722,50.644,15.454,0,111.82
1989,2,"3414001",0,22.252,30.399,39.862,0,92.513
1990,2,"3414001",0,24.118,24.063,11.057,0,59.238
1991,2,"3414001",0.165,9.517,23.051,0,0,32.733
1992,2,"3414001",0,19.18,56.627,60.819,0,136.626
1993,2,"3414001",0,28.418,35.197,20.016,0,83.631
1994,2,"3414001",0.056,9.816,12.903,0.165,0,22.94
1995,2,"3414001",0,6.35,18.141,7.466,0,31.957
1996,2,"3414001",0,10.016,25.077,0.353,0,35.446
1997,2,"3414001",0,8.519,46.589,11.692,0,66.8
1998,2,"3414001",0,40.979,55.825,11.563,0,108.367
1999,2,"3414001",0.194,19.046,34.102,7.208,0,60.55
2000,2,"3414001",0,13.729,32.885,16.419,0,63.033
2001,2,"3414001",0,21.76,76.021,18.658,0,116.439
2002,2,"3414001",0,22.885,71.78,67.288,0,161.953
2003,2,"3414001",0,24.19,33.679,25.195,0,83.064
2004,2,"3414001",0,10.116,25.909,13.2,0,49.225
2005,2,"3414001",0,13.751,37.215,24.365,0,75.331
2006,2,"3414001",0,14.173,29.353,2.423,0,45.949
2007,2,"3414001",0,7.774,41.488,23.738,0,73
2008,2,"3414001",0,12.341,19.48,18.392,0,50.213
2009,2,"3414001",0,8.13,19.176,7.87,0,35.176
2010,2,"3414001",0,5.783,26.46,36.069,0,68.312
2011,2,"3414001",0,8.727,29.158,6.47,0,44.355
2012,2,"3414001",0,16.257,48.906,24.199,0,89.362
2013,2,"3414001",0,9.988,33.382,17.666,0,61.036
2014,2,"3414001",0,7.996,12.308,20.674,0,40.978
2015,2,"3414001",0,10.074,50.082,2.909,0,63.065
2016,2,"3414001",0,20.341,63.6,49.799,0,133.74
2017,2,"3414001",0,25.923,41.865,98.921,0,166.709
2018,2,"3414001",0,24.244,22.183,10.9,0,57.327
2019,2,"3414001",0,11.497,20.021,15.68,0,47.198
1981,3,"3414001",0,14.427,28.955,7.884,0,51.266
1982,3,"3414001",0,8.621,23.185,31.522,0,63.328
1983,3,"3414001",0,17.171,50.668,70.315,0,138.154
1984,3,"3414001",0,34.78,44.649,52.351,0,131.78
1985,3,"3414001",0,28.882,29.499,3.189,0,61.57
1986,3,"3414001",0,13.732,17.621,34.49,0,65.843
1987,3,"3414001",0,21.686,54.21,69.902,0,145.798
1988,3,"3414001",0,40.813,50.644,26.569,0,118.026
1989,3,"3414001",0,19.871,30.525,58.152,0,108.548
1990,3,"3414001",0,21.547,24.257,16.557,0,62.361
1991,3,"3414001",0,8.506,23.045,43.471,0,75.022
1992,3,"3414001",0,17.121,56.627,104.329,0,178.077
1993,3,"3414001",0,25.367,34.871,20.868,0,81.106
1994,3,"3414001",0,8.77,12.217,3.839,0,24.826
1995,3,"3414001",0,5.738,19.202,9.336,0,34.276
1996,3,"3414001",0,8.95,23.878,16.447,0,49.275
1997,3,"3414001",0,7.604,46.589,126.464,0,180.657
1998,3,"3414001",0,36.606,55.749,40.438,0,132.793
1999,3,"3414001",0,17.125,34.463,16.822,0,68.41
