"wy_simple","wym","cod_cuenca","AE","SLZ","SM","SP","SUZ","STORAGE"
1981,1,"3414001",0.172,16.418,26.52,1.691,0,44.801
1982,1,"3414001",0.222,11.251,13.502,0,0,24.975
1983,1,"3414001",0.27,19.342,32.904,5.899,0,58.415
1984,1,"3414001",0.546,43.989,66.962,0.002,0,111.499
1985,1,"3414001",0,35.001,31.627,0.048,0,66.676
1986,1,"3414001",0.228,18.108,14.849,0,0,33.185
1987,1,"3414001",0,26.17,50.25,0.43,0,76.85
1988,1,"3414001",0.704,41.548,70.468,37.884,0,150.604
1989,1,"3414001",0,29.22,26.117,18.426,0,73.763
1990,1,"3414001",0,27.791,26.226,9.686,0,63.703
1991,1,"3414001",0.107,12.107,15.115,0.154,0,27.483
1992,1,"3414001",0,19.969,49.312,30.644,0,99.925
1993,1,"3414001",0.344,29.906,29.356,0,0,59.606
1994,1,"3414001",0.117,11.663,11.746,0,0,23.526
1995,1,"3414001",0.129,7.947,10.396,0,0,18.472
1996,1,"3414001",0.262,11.967,25.753,0.106,0,38.088
1997,1,"3414001",0.276,8.98,20.983,0,0,30.239
1998,1,"3414001",0.456,44.885,72.085,7.771,0,125.197
1999,1,"3414001",0,23.132,35.217,6.402,0,64.751
2000,1,"3414001",0.195,14.958,18.604,2.376,0,36.133
2001,1,"3414001",0,21.61,65.064,3.629,0,90.303
2002,1,"3414001",0.137,18.621,22.716,2.893,0,44.367
2003,1,"3414001",0.163,23.266,16.996,1.869,0,42.294
2004,1,"3414001",0,12.012,22.772,8.105,0,42.889
2005,1,"3414001",0,15.155,31.082,19.237,0,65.474
2006,1,"3414001",0.177,15.482,13.104,0,0,28.763
2007,1,"3414001",0.067,8.16,8.886,2.349,0,19.462
2008,1,"3414001",0,13.912,18.676,2.341,0,34.929
2009,1,"3414001",0.17,10.344,13.074,0,0,23.588
2010,1,"3414001",0.114,7.15,8.656,0,0,15.92
2011,1,"3414001",0,10.397,23.095,0,0,33.492
2012,1,"3414001",0,17.856,34.313,20.756,0,72.925
2013,1,"3414001",0.104,11.609,11.025,0,0,22.738
2014,1,"3414001",0,9.916,11.902,0.341,0,22.159
2015,1,"3414001",0.593,11.047,45.877,0,0,57.517
2016,1,"3414001",0,18.913,51.866,16.744,0,87.523
2017,1,"3414001",0.258,26.834,26.859,1.468,0,55.419
2018,1,"3414001",0.28,26.99,20.048,0,0,47.318
2019,1,"3414001",0.087,13.887,10.781,0,0,24.755
1981,2,"3414001",0,14.81,24.74,9.809,0,49.359
1982,2,"3414001",0,10.237,16.205,11.86,0,38.302
1983,2,"3414001",0,18.124,40.615,38.991,0,97.73
1984,2,"3414001",0.345,39.548,59.979,0.526,0,100.398
1985,2,"3414001",0,31.907,33.36,2.539,0,67.806
1986,2,"3414001",0,16.258,13.277,23.198,0,52.733
1987,2,"3414001",0,23.515,50.366,72.28,0,146.161
1988,2,"3414001",0,38.447,74.647,56.563,0,169.657
1989,2,"3414001",0,26.319,27.845,44.092,0,98.256
1990,2,"3414001",0,24.955,25.142,12.38,0,62.477
1991,2,"3414001",0.166,11.325,20.826,0.029,0,32.346
1992,2,"3414001",0,18.067,49.209,71.695,0,138.971
1993,2,"3414001",0,27.465,34.802,22.728,0,84.995
1994,2,"3414001",0.055,10.535,11.171,0.258,0,22.019
1995,2,"3414001",0,7.412,16.377,8.116,0,31.905
1996,2,"3414001",0,10.741,21.447,0.501,0,32.689
1997,2,"3414001",0,9.384,38.825,15.611,0,63.82
1998,2,"3414001",0,41.242,71.738,15.875,0,128.855
1999,2,"3414001",0.194,20.779,30.422,8.711,0,60.106
2000,2,"3414001",0,13.984,27.703,20.737,0,62.424
2001,2,"3414001",0,20.287,70.149,23.397,0,113.833
2002,2,"3414001",0,19.304,55.16,83.096,0,157.56
2003,2,"3414001",0,21.457,25.973,33.271,0,80.701
2004,2,"3414001",0,10.801,21.99,15.498,0,48.289
2005,2,"3414001",0,13.596,30.275,29.002,0,72.873
2006,2,"3414001",0,14.607,24.886,4.367,0,43.86
2007,2,"3414001",0,8.164,28.793,32.383,0,69.34
2008,2,"3414001",0,12.546,18.203,20.506,0,51.255
2009,2,"3414001",0,9.443,14.063,10.208,0,33.714
2010,2,"3414001",0,6.912,21.555,41.151,0,69.618
2011,2,"3414001",0,9.673,24.599,8.406,0,42.678
2012,2,"3414001",0,16.585,39.899,30.511,0,86.995
2013,2,"3414001",0,11.052,26.714,21.684,0,59.45
2014,2,"3414001",0,8.915,10.813,22.488,0,42.216
2015,2,"3414001",0,10.63,45.247,4.051,0,59.928
2016,2,"3414001",0,17.455,53.073,60.649,0,131.177
2017,2,"3414001",0,24.849,35.985,110.823,0,171.657
2018,2,"3414001",0,24.401,21.595,12.41,0,58.406
2019,2,"3414001",0,12.755,17.175,17.858,0,47.788
1981,3,"3414001",0,13.327,24.744,11.047,0,49.118
1982,3,"3414001",0,9.219,16.029,37.168,0,62.416
1983,3,"3414001",0,16.309,40.615,81.429,0,138.353
1984,3,"3414001",0,35.588,59.979,57.063,0,152.63
1985,3,"3414001",0,28.802,30.826,5.195,0,64.823
1986,3,"3414001",0,14.63,13.277,38.866,0,66.773
1987,3,"3414001",0,21.162,50.383,76.29,0,147.835
1988,3,"3414001",0,34.597,74.647,68.645,0,177.889
1989,3,"3414001",0,23.686,27.879,64.027,0,115.592
1990,3,"3414001",0,22.463,25.023,18.518,0,66.004
1991,3,"3414001",0,10.201,20.762,47.313,0,78.276
1992,3,"3414001",0,16.257,49.209,118.992,0,184.458
1993,3,"3414001",0,24.715,34.442,23.654,0,82.811
1994,3,"3414001",0,9.493,10.498,4.232,0,24.223
1995,3,"3414001",0,6.71,16.232,11.273,0,34.215
1996,3,"3414001",0,9.666,20.123,18.104,0,47.893
1997,3,"3414001",0,8.445,38.825,140.37,0,187.64
1998,3,"3414001",0,37.112,71.368,47.377,0,155.857
1999,3,"3414001",0,18.736,29.658,19.826,0,68.22
2000,3,"3414001",0,12.584,27.703,64.349,0,104.636
2001,3,"3414001",0,18.264,68.63,28.311,0,115.205
2002,3,"3414001",0,17.438,55.678,93.659,0,166.775
2003,3,"3414001",0,19.436,26.033,34.599,0,80.068
2004,3,"3414001",0,9.782,22.66,19.45,0,51.892
2005,3,"3414001",0.233,12.317,30.365,38.375,0,81.29
2006,3,"3414001",0,13.144,24.886,13.475,0,51.505
2007,3,"3414001",0,7.346,28.793,81.855,0,117.994
2008,3,"3414001",0,11.302,18.446,44.431,0,74.179
2009,3,"3414001",0,8.497,14.063,21.801,0,44.361
2010,3,"3414001",0,6.221,21.581,52.354,0,80.156
2011,3,"3414001",0,8.709,24.673,59.416,0,92.798
2012,3,"3414001",0,14.925,39.899,47.061,0,101.885
2013,3,"3414001",0,9.947,26.731,32.551,0,69.229
2014,3,"3414001",0,8.022,10.813,31.394,0,50.229
2015,3,"3414001",0,9.566,41.901,4.051,0,55.518
2016,3,"3414001",0,15.707,53.073,111.757,0,180.537
2017,3,"3414001",0,22.361,35.985,147.862,0,206.208
2018,3,"3414001",0,21.958,21.596,29.44,0,72.994
2019,3,"3414001",0,11.83,23.399,23.496,0,58.725
1981,4,"3414001",0,11.966,24.262,18.845,0,55.073
1982,4,"3414001",0,8.271,16.107,78.793,0,103.171
1983,4,"3414001",0,14.624,40.615,144.395,0,199.634
1984,4,"3414001",0,31.912,59.979,144.223,0,236.114
1985,4,"3414001",0,25.877,30.562,34.455,0,90.894
1986,4,"3414001",0,13.119,13.277,59.331,0,85.727
1987,4,"3414001",0,18.978,50.397,195.198,0,264.573
1988,4,"3414001",0,31.045,74.776,81.162,0,186.983
