"wy_simple","wym","cod_cuenca","AE","SLZ","SM","SP","SUZ","STORAGE"
1981,1,"3414001",0.139,3.341,243.468,3.71,0,250.658
1982,1,"3414001",0.366,3.567,256.385,0,0,260.318
1983,1,"3414001",0.229,8.193,317.262,13.784,0,339.468
1984,1,"3414001",0.338,29.506,472.36,0.262,0,502.466
1985,1,"3414001",0,28.403,475.011,0.079,0,503.493
1986,1,"3414001",0.535,14.241,399.402,0,0,414.178
1987,1,"3414001",0,23.927,451.873,0.652,0,476.452
1988,1,"3414001",0.476,48.318,544.06,0,0,592.854
1989,1,"3414001",0,25.189,473.081,18.423,0,516.693
1990,1,"3414001",0,26.199,472.875,10.177,0,509.251
1991,1,"3414001",0.229,10.165,367.986,0.928,0,379.308
1992,1,"3414001",0,13.936,399.873,36.959,0,450.768
1993,1,"3414001",0.457,24.028,445.694,0,0,470.179
1994,1,"3414001",0.198,2.485,227.542,0,0,230.225
1995,1,"3414001",0.239,2.332,221.072,0,0,223.643
1996,1,"3414001",0.239,4.147,268.386,4.948,0,277.72
1997,1,"3414001",0.307,4.128,267.457,0,0,271.892
1998,1,"3414001",0.249,25.652,448.457,11.948,0,486.306
1999,1,"3414001",0,15.778,409.376,6.022,0,431.176
2000,1,"3414001",0.331,10.002,361.154,3.875,0,375.362
2001,1,"3414001",0,17.859,417.745,3.537,0,439.141
2002,1,"3414001",0.2,12.166,378.471,8.426,0,399.263
2003,1,"3414001",0.336,17.102,399.793,1.655,0,418.886
2004,1,"3414001",0,8.494,338.697,9.489,0,356.68
2005,1,"3414001",0,9.774,349.589,21.161,0,380.524
2006,1,"3414001",0.411,10.211,348.659,0,0,359.281
2007,1,"3414001",0.184,4.407,277.756,3.533,0,285.88
2008,1,"3414001",0,7.206,313.919,3.281,0,324.406
2009,1,"3414001",0.339,5.871,297.756,0,0,303.966
2010,1,"3414001",0.293,3.594,255.328,0,0,259.215
2011,1,"3414001",0,5.313,289.531,0,0,294.844
2012,1,"3414001",0,10.274,345.089,20.851,0,376.214
2013,1,"3414001",0.254,6.549,308.825,0,0,315.628
2014,1,"3414001",0,5.291,288.761,0.693,0,294.745
2015,1,"3414001",0.329,5.523,291.518,5.032,0,302.402
2016,1,"3414001",0,9.478,336.588,24.733,0,370.799
2017,1,"3414001",0.334,17.306,396.845,1.267,0,415.752
2018,1,"3414001",0.503,19.855,413.656,0,0,434.014
2019,1,"3414001",0.242,9.479,341.393,0,0,351.114
1981,2,"3414001",0,2.759,240.934,12.032,0,255.725
1982,2,"3414001",0,2.955,254.836,13.018,0,270.809
1983,2,"3414001",0,6.789,316.351,49.896,0,373.036
1984,2,"3414001",0.236,24.338,467.345,1.173,0,493.092
1985,2,"3414001",0,23.609,469.905,5.427,0,498.941
1986,2,"3414001",0,11.769,394.357,21.976,0,428.102
1987,2,"3414001",0,19.733,451.618,68.484,0,539.835
1988,2,"3414001",0,39.86,541.329,22.403,0,603.592
1989,2,"3414001",0,20.774,473.081,43.512,0,537.367
1990,2,"3414001",0,21.643,470.452,12.886,0,504.981
1991,2,"3414001",0.258,9.274,368.56,0.649,0,378.741
1992,2,"3414001",0,11.499,398.837,76.341,0,486.677
1993,2,"3414001",0,20.315,444.883,24.252,0,489.45
1994,2,"3414001",0.096,2.105,224.411,0.5,0,227.112
1995,2,"3414001",0,2.19,225.599,7.634,0,235.423
1996,2,"3414001",0,3.547,266.406,2.813,0,272.766
1997,2,"3414001",0,3.648,268.981,23.382,0,296.011
1998,2,"3414001",0,21.584,446.929,21.803,0,490.316
1999,2,"3414001",0.226,13.081,404.086,8.08,0,425.473
2000,2,"3414001",0,8.433,361.589,25.554,0,395.576
2001,2,"3414001",0,14.754,417.109,25.882,0,457.745
2002,2,"3414001",0,10.216,378.107,101.742,0,490.065
2003,2,"3414001",0,14.385,397.137,35.78,0,447.302
2004,2,"3414001",0,7.006,336.967,16.718,0,360.691
2005,2,"3414001",0,8.061,348.693,30.393,0,387.147
2006,2,"3414001",0,9.256,352.061,7.193,0,368.51
2007,2,"3414001",0,3.634,276.896,42.715,0,323.245
2008,2,"3414001",0,5.954,311.163,21.045,0,338.162
2009,2,"3414001",0,5.032,294.411,10.174,0,309.617
2010,2,"3414001",0,3.604,267.306,38.853,0,309.763
2011,2,"3414001",0,4.5,286.279,10.053,0,300.832
2012,2,"3414001",0,8.473,344.405,33.586,0,386.464
2013,2,"3414001",0,5.465,305.682,29.111,0,340.258
2014,2,"3414001",0,4.417,285.77,21.201,0,311.388
2015,2,"3414001",0,4.69,289.151,11.219,0,305.06
2016,2,"3414001",0,7.839,335.142,68.29,0,411.271
2017,2,"3414001",0,14.451,395.245,109.384,0,519.08
2018,2,"3414001",0,16.59,411.317,12.748,0,440.655
2019,2,"3414001",0,8.383,344.007,17.502,0,369.892
1981,3,"3414001",0,2.29,240.934,13.198,0,256.422
1982,3,"3414001",0,2.453,254.359,36.912,0,293.724
1983,3,"3414001",0,5.634,316.351,89.813,0,411.798
1984,3,"3414001",0,20.198,467.345,54.351,0,541.894
1985,3,"3414001",0,19.666,465.462,8.345,0,493.473
1986,3,"3414001",0,9.767,394.357,36.712,0,440.836
1987,3,"3414001",0,16.376,451.618,72.266,0,540.26
1988,3,"3414001",0,33.079,541.329,33.768,0,608.176
1989,3,"3414001",0,17.239,473.081,62.281,0,552.601
1990,3,"3414001",0,17.961,470.07,18.721,0,506.752
1991,3,"3414001",0,7.702,368.231,45.191,0,421.124
1992,3,"3414001",0,9.542,398.837,120.828,0,529.207
1993,3,"3414001",0,16.858,444.476,25.124,0,486.458
1994,3,"3414001",0,1.763,222.959,4.056,0,228.778
1995,3,"3414001",0,1.856,225.43,10.31,0,237.596
1996,3,"3414001",0,2.944,264.914,19.371,0,287.229
1997,3,"3414001",0,3.028,268.981,140.73,0,412.739
1998,3,"3414001",0,17.912,446.726,51.433,0,516.071
1999,3,"3414001",0,10.858,402.621,18.793,0,432.272
2000,3,"3414001",0,6.999,361.589,66.575,0,435.163
2001,3,"3414001",0,12.244,416.284,30.532,0,459.06
2002,3,"3414001",0,8.478,378.107,111.977,0,498.562
2003,3,"3414001",0,11.938,394.779,38.056,0,444.773
2004,3,"3414001",0,5.814,336.471,20.998,0,363.283
2005,3,"3414001",0.234,6.69,347.682,39.813,0,394.419
2006,3,"3414001",0,7.682,352.061,15.76,0,375.503
2007,3,"3414001",0,3.016,276.896,89.248,0,369.16
2008,3,"3414001",0,4.941,311.163,43.679,0,359.783
2009,3,"3414001",0,4.176,294.411,21.078,0,319.665
2010,3,"3414001",0,2.991,267.306,49.405,0,319.702
2011,3,"3414001",0,3.734,286.279,58.073,0,348.086
2012,3,"3414001",0,7.032,344.405,49.153,0,400.59
2013,3,"3414001",0,4.535,305.682,39.342,0,349.559
2014,3,"3414001",0,3.665,285.77,29.578,0,319.013
2015,3,"3414001",0,3.892,287.201,11.219,0,302.312
2016,3,"3414001",0,6.505,335.142,116.362,0,458.009
2017,3,"3414001",0,11.993,395.245,144.221,0,551.459
2018,3,"3414001",0,13.768,411.317,28.767,0,453.852
2019,3,"3414001",0,6.995,343.037,26.322,0,376.354
1981,4,"3414001",0,1.888,240.29,20.674,0,262.852
1982,4,"3414001",0,2.023,254.359,76.106,0,332.488
1983,4,"3414001",0,4.646,316.351,149.038,0,470.035
1984,4,"3414001",0,16.658,467.345,136.334,0,620.337
1985,4,"3414001",0,16.219,464.228,36.226,0,516.673
1986,4,"3414001",0,8.055,394.357,55.962,0,458.374
1987,4,"3414001",0,13.506,451.618,184.118,0,649.242
1988,4,"3414001",0,27.281,541.329,45.618,0,614.228
1989,4,"3414001",0,14.218,473.081,77.697,0,564.996
1990,4,"3414001",0,14.813,469.877,35.024,0,519.714
1991,4,"3414001",0,6.352,368.231,78.476,0,453.059
1992,4,"3414001",0,7.87,398.837,149.431,0,556.138
1993,4,"3414001",0,13.904,444.476,40.557,0,498.937
1994,4,"3414001",0,1.463,222.423,35.265,0,259.151
1995,4,"3414001",0,1.531,225.235,17.823,0,244.589
1996,4,"3414001",0,2.428,264.789,21.293,0,288.51
