"gauge_name","year","month","ym","wy","wym","Q_m3s","cod_cuenca","area_km2"
"Aconcagua en Chacabuquito",1990,9,1990-09-01,1990,6,8,5410002,2113.422512
"Aconcagua en Chacabuquito",1990,10,1990-10-01,1990,7,18,5410002,2113.422512
"Aconcagua en Chacabuquito",1990,11,1990-11-01,1990,8,29,5410002,2113.422512
"Aconcagua en Chacabuquito",1990,12,1990-12-01,1990,9,34,5410002,2113.422512
"Aconcagua en Chacabuquito",1991,1,1991-01-01,1990,10,30,5410002,2113.422512
"Aconcagua en Chacabuquito",1991,2,1991-02-01,1990,11,24,5410002,2113.422512
"Aconcagua en Chacabuquito",1991,3,1991-03-01,1990,12,17,5410002,2113.422512
"Aconcagua en Chacabuquito",1991,9,1991-09-01,1991,6,30,5410002,2113.422512
"Aconcagua en Chacabuquito",1991,10,1991-10-01,1991,7,45,5410002,2113.422512
"Aconcagua en Chacabuquito",1991,11,1991-11-01,1991,8,80,5410002,2113.422512
"Aconcagua en Chacabuquito",1991,12,1991-12-01,1991,9,125,5410002,2113.422512
"Aconcagua en Chacabuquito",1992,1,1992-01-01,1991,10,98,5410002,2113.422512
"Aconcagua en Chacabuquito",1992,2,1992-02-01,1991,11,60,5410002,2113.422512
"Aconcagua en Chacabuquito",1992,3,1992-03-01,1991,12,36,5410002,2113.422512
"Aconcagua en Chacabuquito",1992,9,1992-09-01,1992,6,26,5410002,2113.422512
"Aconcagua en Chacabuquito",1992,10,1992-10-01,1992,7,35,5410002,2113.422512
"Aconcagua en Chacabuquito",1992,11,1992-11-01,1992,8,60,5410002,2113.422512
"Aconcagua en Chacabuquito",1992,12,1992-12-01,1992,9,107,5410002,2113.422512
"Aconcagua en Chacabuquito",1993,1,1993-01-01,1992,10,92,5410002,2113.422512
"Aconcagua en Chacabuquito",1993,2,1993-02-01,1992,11,60,5410002,2113.422512
"Aconcagua en Chacabuquito",1993,3,1993-03-01,1992,12,35,5410002,2113.422512
"Aconcagua en Chacabuquito",1993,9,1993-09-01,1993,6,21,5410002,2113.422512
"Aconcagua en Chacabuquito",1993,10,1993-10-01,1993,7,40,5410002,2113.422512
"Aconcagua en Chacabuquito",1993,11,1993-11-01,1993,8,63,5410002,2113.422512
"Aconcagua en Chacabuquito",1993,12,1993-12-01,1993,9,66,5410002,2113.422512
"Aconcagua en Chacabuquito",1994,1,1994-01-01,1993,10,58,5410002,2113.422512
"Aconcagua en Chacabuquito",1994,2,1994-02-01,1993,11,36,5410002,2113.422512
"Aconcagua en Chacabuquito",1994,3,1994-03-01,1993,12,24,5410002,2113.422512
"Aconcagua en Chacabuquito",1994,9,1994-09-01,1994,6,19,5410002,2113.422512
"Aconcagua en Chacabuquito",1994,10,1994-10-01,1994,7,29,5410002,2113.422512
"Aconcagua en Chacabuquito",1994,11,1994-11-01,1994,8,53,5410002,2113.422512
"Aconcagua en Chacabuquito",1994,12,1994-12-01,1994,9,60,5410002,2113.422512
"Aconcagua en Chacabuquito",1995,1,1995-01-01,1994,10,45,5410002,2113.422512
"Aconcagua en Chacabuquito",1995,2,1995-02-01,1994,11,31,5410002,2113.422512
"Aconcagua en Chacabuquito",1995,3,1995-03-01,1994,12,21,5410002,2113.422512
"Aconcagua en Chacabuquito",1995,9,1995-09-01,1995,6,12,5410002,2113.422512
"Aconcagua en Chacabuquito",1995,10,1995-10-01,1995,7,23,5410002,2113.422512
"Aconcagua en Chacabuquito",1995,11,1995-11-01,1995,8,40,5410002,2113.422512
"Aconcagua en Chacabuquito",1995,12,1995-12-01,1995,9,50,5410002,2113.422512
"Aconcagua en Chacabuquito",1996,1,1996-01-01,1995,10,40,5410002,2113.422512
"Aconcagua en Chacabuquito",1996,2,1996-02-01,1995,11,31,5410002,2113.422512
"Aconcagua en Chacabuquito",1996,3,1996-03-01,1995,12,21,5410002,2113.422512
"Aconcagua en Chacabuquito",1996,9,1996-09-01,1996,6,9.5,5410002,2113.422512
"Aconcagua en Chacabuquito",1996,10,1996-10-01,1996,7,17,5410002,2113.422512
"Aconcagua en Chacabuquito",1996,11,1996-11-01,1996,8,29,5410002,2113.422512
"Aconcagua en Chacabuquito",1996,12,1996-12-01,1996,9,29,5410002,2113.422512
"Aconcagua en Chacabuquito",1997,1,1997-01-01,1996,10,27,5410002,2113.422512
"Aconcagua en Chacabuquito",1997,2,1997-02-01,1996,11,20,5410002,2113.422512
"Aconcagua en Chacabuquito",1997,3,1997-03-01,1996,12,17,5410002,2113.422512
"Aconcagua en Chacabuquito",1997,9,1997-09-01,1997,6,36,5410002,2113.422512
"Aconcagua en Chacabuquito",1997,10,1997-10-01,1997,7,60,5410002,2113.422512
"Aconcagua en Chacabuquito",1997,11,1997-11-01,1997,8,95,5410002,2113.422512
"Aconcagua en Chacabuquito",1997,12,1997-12-01,1997,9,155,5410002,2113.422512
"Aconcagua en Chacabuquito",1998,1,1998-01-01,1997,10,110,5410002,2113.422512
"Aconcagua en Chacabuquito",1998,2,1998-02-01,1997,11,75,5410002,2113.422512
"Aconcagua en Chacabuquito",1998,3,1998-03-01,1997,12,40,5410002,2113.422512
"Aconcagua en Chacabuquito",1998,9,1998-09-01,1998,6,9,5410002,2113.422512
"Aconcagua en Chacabuquito",1998,10,1998-10-01,1998,7,11,5410002,2113.422512
