"wy","cod_cuenca","volume_GL","volume_obs_GL"
1990,3820001,35.11296,68.4945064764586
1990,4320001,60.23808,83.7336959973567
1990,4703002,85.33728,87.3486720121351
1990,5410002,419.1264,405.26697591246
1990,5710001,1445.904,1814.39870516562
1990,5722002,55.08864,109.281312006445
1990,6028001,798.4224,880.277760078333
1990,7104002,570.3264,811.969920198344
1990,7321002,2597.9616,3377.98967184699
1991,3820001,148.81536,153.876304390521
1991,4320001,265.8528,203.622335993572
1991,4703002,349.056,343.484928047719
1991,5410002,1244.5056,1044.84383977431
1991,5710001,3484.1664,3414.12192016993
1991,5722002,219.38688,220.345056012996
1991,6028001,1112.4864,1148.63616010221
1991,7104002,1095.552,1076.37984026293
1991,7321002,4937.1552,4748.67496889085
1992,3820001,159.7104,204.681889285188
1992,4320001,329.5296,367.061759988412
1992,4703002,336.89088,296.224128041153
1992,5410002,1088.5536,874.877759811023
1992,5710001,3321.5616,3164.56473615751
1992,5722002,200.4912,170.331552010046
1992,6028001,1251.8496,1557.80208013862
1992,7104002,1366.7616,1535.02560037497
1992,7321002,5500.9152,6064.73315295421
1993,3820001,47.92608,115.833564686414
1993,4320001,97.12224,132.052895995831
1993,4703002,186.1056,169.820064023592
1993,5410002,808.3584,625.216319864951
1993,5710001,2375.6544,2563.35365287485
1993,5722002,120.64032,100.280160005915
1993,6028001,1146.7872,1394.32152318069
1993,7104002,1074.1248,1084.70016026496
1993,7321002,5439.9168,4760.47172496998
1994,3820001,66.26016,51.011424001904
1994,4320001,117.84096,126.39023999601
1994,4703002,136.4256,115.221312016007
1994,5410002,676.7712,614.044799867364
1994,5710001,2510.4384,2657.02464013225
1994,5722002,99.91296,93.6688320055245
1994,6028001,1000.4256,1218.08448010839
1994,7104002,1003.7088,1068.08544026091
1994,7321002,4506.0192,4791.6686467797
1995,3820001,23.5872,32.5757067440731
1995,4320001,68.09184,81.947807997413
1995,4703002,78.7968,65.6233920091168
1995,5410002,568.6848,483.151391895637
1995,5710001,2013.2928,2294.61984011422
1995,5722002,95.7312,69.1735680040797
1995,6028001,1091.8368,1563.11185669082
1995,7104002,1200.7008,1299.70656031749
1995,7321002,6002.64,5496.39434731109
1996,3820001,27.25056,18.2155153661972
1996,4320001,60.22944,56.3362559982214
1996,4703002,78.624,36.6137280050866
1996,5410002,389.232,236.126879948996
1996,5710001,1296.3456,1084.916160054
1996,5722002,39.64032,28.1380608016596
1996,6028001,867.1104,753.192000067025
1996,7104002,698.976,520.732800127201
1996,7321002,2995.488,2579.50474148138
1997,3820001,1100.9952,866.005696032325
1997,4320001,1251.1584,1151.08127996366
1997,4703002,799.8048,652.256064090616
1997,5410002,1498.608,1390.87583969957
1997,5710001,4387.3056,4029.55776020057
1997,5722002,320.7168,262.318176015471
1997,6028001,1713.5712,1717.42464015283
1997,7104002,1550.016,2137.47552052213
1997,7321002,5496.5952,7375.56254987818
1998,3820001,137.6784,123.175296004598
1998,4320001,170.3808,158.68828799499
1998,4703002,49.8096,60.1309440083538
1998,5410002,251.2512,365.183423921119
1998,5710001,1296,1414.60128007041
1998,5722002,25.39296,34.2242363097108
1998,6028001,489.6288,627.271776055819
1998,7104002,270,456.37344011148
1998,7321002,1596.672,1447.03247356188
1999,3820001,52.4016,60.8601600022716
1999,4320001,130.9392,132.659423995812
1999,4703002,199.6704,150.374880020891
1999,5410002,699.9264,642.263039861268
1999,5710001,2194.7328,1938.13344009647
1999,5722002,120.7008,97.4168640057457
1999,6028001,1097.8848,989.452800088047
1999,7104002,1101.7728,1288.10106037459
