"cuenca","cuenca_name","vol_normal","vol_pasado","vol_promax","vol_promin","vol_pron","year","fecha_emision","comentarios"
"3414001","Rio Pulido En Vertedero",3.29,NA,52.5,-14.15,18.99,2022,"2022-09-01","version 0.1"
"3421001","Rio Manflas En Vertedero",2.05,NA,23.16,-13.46,4.75,2022,"2022-09-01","version 0.1"
"3430003","Rio Copiapo En Pastillo",3.59,NA,69.19,-6.46,31.16,2022,"2022-09-01","version 0.1"
"3820001","Rio Huasco En Algodones",4.38,NA,214.87,-95.65,58.75,2022,"2022-09-01","version 0.1"
"4302001","Rio Toro Antes Junta Rio La Laguna",2.46,NA,14.55,4.61,9.55,2022,"2022-09-01","version 0.1"
"4311001","Estero Derecho En Alcohuaz",2.82,NA,29.28,-10.11,9.47,2022,"2022-09-01","version 0.1"
"4313001","Rio Cochiguaz En El Pe–on",3.76,NA,63.76,-14.22,24.55,2022,"2022-09-01","version 0.1"
"4320001","Rio Elqui En Algarrobal",5.06,NA,275.19,-38.13,117.66,2022,"2022-09-01","version 0.1"
"4501001","Rio Hurtado En San Agustin",3.7,NA,67.84,-17.76,24.8,2022,"2022-09-01","version 0.1"
"4503001","Rio Hurtado En Angostura De Pangue",3.36,NA,57.88,-24.61,16.4,2022,"2022-09-01","version 0.1"
"4511002","Rio Grande En Las Ramadas",4.15,NA,113.82,-47.67,32.63,2022,"2022-09-01","version 0.1"
"4513001","Rio Grande En Cuyano",4.61,NA,307.43,-134.27,85.35,2022,"2022-09-01","version 0.1"
"4515002","Rio Mostazal En Caren",2.36,NA,44.29,-16.07,13.94,2022,"2022-09-01","version 0.1"
"4522002","Rio Rapel En Junta",2.27,NA,42.45,-36.74,2.63,2022,"2022-09-01","version 0.1"
"4531002","Rio Cogoti Entrada Embalse Cogoti",2.8,NA,112.44,-62.48,24.5,2022,"2022-09-01","version 0.1"
"4703002","Rio Choapa En Cuncumen",5.09,NA,366,-112.28,125.53,2022,"2022-09-01","version 0.1"
"5100001","Rio Sobrante En Piadero",2.6,NA,24.91,-11.45,6.63,2022,"2022-09-01","version 0.1"
"5101001","Rio Pedernal En Tejada",1.11,NA,6.88,-4.75,1.03,2022,"2022-09-01","version 0.1"
"5200001","Rio Alicahue En Colliguay",2.84,NA,32.24,-8.8,11.61,2022,"2022-09-01","version 0.1"
"5401003","Rio Juncal En Juncal",4.87,NA,148.07,75.85,111.76,2022,"2022-09-01","version 0.1"
"5410002","Rio Aconcagua En Chacabuquito",6.52,NA,984.51,82.96,531.23,2022,"2022-09-01","version 0.1"
"5411001","Estero Pocuro En El Sifon",2.3,NA,14.24,-2.19,5.98,2022,"2022-09-01","version 0.1"
"5414001","Rio Putaendo En Resguardo Los Patos",4.83,NA,293.4,-123.87,83.6,2022,"2022-09-01","version 0.1"
"5707002","Rio Colorado Antes Junta Rio Maipo",717.81,NA,689.57,325,506.27,2022,"2022-09-01","version 0.1"
"5710001","Rio Maipo En El Manzano",7.79,NA,2512.35,747.36,1624.95,2022,"2022-09-01","version 0.1"
"5721001","Estero Yerba Loca Antes Junta San Francisco",3.13,NA,25.88,2.15,13.95,2022,"2022-09-01","version 0.1"
"5722001","Estero Arrayan En La Montosa",3.24,NA,30.87,-9.17,10.74,2022,"2022-09-01","version 0.1"
"5722002","Rio Mapocho En Los Almendros",4.69,NA,143.72,0.34,71.63,2022,"2022-09-01","version 0.1"
"5730008","Quebrada Ramon En Recinto Emos",0.81,NA,7.45,-4.82,1.28,2022,"2022-09-01","version 0.1"
"5741001","Estero Puangue En Boqueron",1.35,NA,7.82,-3.9,1.93,2022,"2022-09-01","version 0.1"
"6003001","Rio Cachapoal 5 Km. Aguas Abajo Junta Cortaderal",996.98,NA,1108.17,386.3,745.23,2022,"2022-09-01","version 0.1"
"6013001","Rio Claro En Hacienda Las Nieves",153.49,NA,159.08,32.22,95.3,2022,"2022-09-01","version 0.1"
"6027001","Rio Claro En El Valle",4.95,NA,196.45,7.56,101.48,2022,"2022-09-01","version 0.1"
"6028001","Rio Tinguiririca Bajo Los Briones",1145.6,NA,1121.51,589.45,854,2022,"2022-09-01","version 0.1"
"7103001","Rio Claro En Los Que–es",297.4,NA,341.1,119.64,229.75,2022,"2022-09-01","version 0.1"
"7104002","Rio Teno Despues De Junta Con Claro",6.89,NA,1126.28,288.82,705.22,2022,"2022-09-01","version 0.1"
"7112001","Rio Colorado En Junta Con Palos",6.73,NA,816.2,238.25,525.62,2022,"2022-09-01","version 0.1"
"7115001","Rio Palos En Junta Con Colorado",6.21,NA,522.62,213.44,367.17,2022,"2022-09-01","version 0.1"
"7321002","Rio Maule En Armerillo",4471.66,2133.89,4502.48,1885.63,3298.42,2022,"2022-09-01","version 0.1"
"7330001","Rio Perquilauquen En San Manuel",5.71,NA,468.93,85.94,276.37,2022,"2022-09-01","version 0.1"
"7350003","Rio Longavi En El Castillo",432.64,242.46,571.65,180.39,391.62,2022,"2022-09-01","version 0.1"
"7354002","Rio Achibueno En La Recova",558.41,276.76,729.17,235.73,502.13,2022,"2022-09-01","version 0.1"
"7358001","Rio Putagan En Yerbas Buenas",5.81,NA,478.85,128.87,302.88,2022,"2022-09-01","version 0.1"
"7381001","Estero Los Puercos En Puente Los Puercos",52.93,NA,83.53,2.18,42.63,2022,"2022-09-01","version 0.1"
"8104001","Rio Sauces Antes Junta Con „uble",526.01,NA,650.51,263.72,456.04,2022,"2022-09-01","version 0.1"
