cuenca_code,predictor,year,month,datetime_initialisation,predictor_value,gauge_name,area_km2,median
5410002,NINO1.2,1992,4,01/04/2022,1.24,Rio Aconcagua En Chacabuquito,2113.4,-0.21
5410002,NINO1.2,1992,5,01/05/2022,2.19,Rio Aconcagua En Chacabuquito,2113.4,-0.19
5410002,NINO1.2,1992,6,01/06/2022,2.22,Rio Aconcagua En Chacabuquito,2113.4,-0.33
5410002,NINO1.2,1992,7,01/07/2022,0.85,Rio Aconcagua En Chacabuquito,2113.4,-0.32
5410002,NINO1.2,1992,8,01/08/2022,-0.07,Rio Aconcagua En Chacabuquito,2113.4,-0.34
5410002,NINO1.2,1992,9,01/09/2022,-0.14,Rio Aconcagua En Chacabuquito,2113.4,-0.27
5410002,NINO1.2,1992,10,01/10/2022,0.03,Rio Aconcagua En Chacabuquito,2113.4,-0.19
5410002,NINO1.2,1992,11,01/11/2022,0.01,Rio Aconcagua En Chacabuquito,2113.4,-0.13
5410002,NINO1.2,1992,12,01/12/2022,-0.07,Rio Aconcagua En Chacabuquito,2113.4,-0.14
5410002,NINO1.2,1992,1,01/01/2023,-0.1,Rio Aconcagua En Chacabuquito,2113.4,-0.18
5410002,NINO1.2,1992,2,01/02/2023,-0.01,Rio Aconcagua En Chacabuquito,2113.4,-0.18
5410002,NINO1.2,1992,3,01/03/2023,0.3,Rio Aconcagua En Chacabuquito,2113.4,-0.12
5410002,ONI,1992,4,01/04/2022,1.48,Rio Aconcagua En Chacabuquito,2113.4,0.09
5410002,ONI,1992,5,01/05/2022,1.29,Rio Aconcagua En Chacabuquito,2113.4,0.04
5410002,ONI,1992,6,01/06/2022,1.06,Rio Aconcagua En Chacabuquito,2113.4,0.01
5410002,ONI,1992,7,01/07/2022,0.73,Rio Aconcagua En Chacabuquito,2113.4,-0.03
5410002,ONI,1992,8,01/08/2022,0.37,Rio Aconcagua En Chacabuquito,2113.4,0.07
5410002,ONI,1992,9,01/09/2022,0.09,Rio Aconcagua En Chacabuquito,2113.4,-0.10
5410002,ONI,1992,10,01/10/2022,-0.13,Rio Aconcagua En Chacabuquito,2113.4,-0.15
5410002,ONI,1992,11,01/11/2022,-0.25,Rio Aconcagua En Chacabuquito,2113.4,-0.20
5410002,ONI,1992,12,01/12/2022,-0.28,Rio Aconcagua En Chacabuquito,2113.4,-0.17
5410002,ONI,1992,1,01/01/2023,-0.13,Rio Aconcagua En Chacabuquito,2113.4,-0.13
5410002,ONI,1992,2,01/02/2023,0.09,Rio Aconcagua En Chacabuquito,2113.4,-0.05
5410002,ONI,1992,3,01/03/2023,0.3,Rio Aconcagua En Chacabuquito,2113.4,0.07
5410002,PDO,1992,4,01/04/2022,0.207,Rio Aconcagua En Chacabuquito,2113.4,0.05
5410002,PDO,1992,5,01/05/2022,0.615,Rio Aconcagua En Chacabuquito,2113.4,0.21
5410002,PDO,1992,6,01/06/2022,1.349,Rio Aconcagua En Chacabuquito,2113.4,0.32
5410002,PDO,1992,7,01/07/2022,1.238,Rio Aconcagua En Chacabuquito,2113.4,0.07
5410002,PDO,1992,8,01/08/2022,1.579,Rio Aconcagua En Chacabuquito,2113.4,0.27
5410002,PDO,1992,9,01/09/2022,1.113,Rio Aconcagua En Chacabuquito,2113.4,-0.04
5410002,PDO,1992,10,01/10/2022,0.872,Rio Aconcagua En Chacabuquito,2113.4,0.06
5410002,PDO,1992,11,01/11/2022,1.377,Rio Aconcagua En Chacabuquito,2113.4,-0.20
5410002,PDO,1992,12,01/12/2022,1.35,Rio Aconcagua En Chacabuquito,2113.4,-0.37
