gauge_id,gauge_name
3431001,Copiapó en la Puerta
3430003,Copiapó en Pastillo
3820001,Huasco en Algodones
4320001,Elqui en Algarrobal
4501001,Hurtado en San Agustín
4511002,Grande en Las Ramadas 
4703002,Choapa en Cuncumén 
5410002,Aconcagua en Chacabuquito 
5414001,Putaendo Resguardo Patos
5401003,Juncal en Juncal
5722002,Mapocho en los Almendros 
5710001,Maipo en el Manzano 
5707002,Colorado antes junta Maipo
6008005,Cachapoal en Puente Termas 
6013001,Claro en Hacienda Las Nieves
6028001,Tinguiririca en B.Briones 
7104002,Teno después de Junta 
7103001,Claro en Los Queñes
7321002,Maule en Armerillo 
8106001,Ñuble en San Fabián 
